generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
1,1550,32,0.1792,0.2789,0.0253,1179.2,1550,0.06,1019.9,0.53,0.3303,0.4898,0.5697,0.0152,0.05,0.2,0
2,1982,38,0.1975,0.366,0.0253,1273.7,1982,0.18,1152.8,0.47,0.3477,0.4889,0.5685,0.0154,0.05,0.2,0
3,2362,44,0.2195,0.4474,0.0253,1411.7,2362,0.32,1164.6,0.41,0.3558,0.4864,0.5666,0.02,0.05,0.2,0
4,2957,51,0.2271,0.5726,0.0253,1446.3,2912,0.43,1171.3,0.47,0.336,0.4873,0.5675,0.026,0.05,0.2,0
5,3000,62,0.2824,0.6846,0.0253,1663.8,3000,1.31,1406.2,0.52,0.3353,0.4864,0.5666,0.0221,0.05,0.2,0
6,3654,68,0.2731,0.6846,0.0253,1624.9,3000,1.19,1346.2,0.5,0.3467,0.4862,0.5665,0.0246,0.05,0.2,0
7,4154,74,0.2654,0.6846,0.0253,1583.2,3000,1.11,1342.1,0.51,0.3585,0.486,0.5664,0.0333,0.05,0.2,0
8,4417,80,0.2659,0.6846,0.0253,1586.5,3000,1.07,1386.8,0.5,0.3619,0.4864,0.5668,0.0336,0.05,0.2,0
9,5155,86,0.2652,0.6846,0.0253,1578.6,3000,1.1,1363.5,0.53,0.3145,0.4865,0.5668,0.025,0.05,0.2,0
10,5690,92,0.2682,0.6846,0.0253,1592.8,3000,1.1,1435.7,0.5,0.362,0.4858,0.5661,0.0333,0.05,0.2,0
11,6000,102,0.2912,0.9798,0.0253,1686.1,3000,1.51,1460.9,0.49,0.3303,0.4857,0.5662,0.0468,0.05,0.2,0
12,6541,108,0.2898,0.9798,0.0253,1679.6,3000,1.47,1476.1,0.49,0.3073,0.4844,0.5653,0.0433,0.05,0.2,0
13,6953,114,0.285,0.9798,0.0253,1654.4,3000,1.44,1447.7,0.54,0.3339,0.4842,0.5651,0.0231,0.05,0.2,0
14,7347,120,0.2878,0.9798,0.0253,1663.4,3000,1.48,1484.3,0.51,0.3133,0.4834,0.5645,0.0233,0.05,0.2,0
15,7600,126,0.2907,0.9798,0.0253,1665.6,3000,1.56,1500.9,0.51,0.3121,0.4834,0.5646,0.0474,0.05,0.2,0
16,8155,132,0.2949,0.9798,0.0253,1673.6,3000,1.68,1507.3,0.53,0.3018,0.4834,0.5647,0.0611,0.05,0.2,0
17,8621,138,0.2905,0.9798,0.0253,1658.2,3000,1.61,1482.4,0.51,0.3011,0.4838,0.565,0.0379,0.05,0.2,0
18,8890,144,0.2936,0.9798,0.0253,1681.2,3000,1.62,1470.8,0.5,0.3347,0.4831,0.5643,0.0451,0.05,0.2,0
19,9077,150,0.2988,0.9798,0.0253,1700.1,3000,1.72,1482.5,0.49,0.3367,0.483,0.5642,0.042,0.05,0.2,0
20,9587,156,0.302,0.9798,0.0253,1716.0,3000,1.74,1503.0,0.49,0.3223,0.4826,0.5639,0.0302,0.05,0.2,0
21,10066,162,0.2986,0.9798,0.0249,1700.7,3000,1.69,1500.6,0.49,0.3285,0.483,0.5642,0.0481,0.05,0.2,0
22,10879,168,0.2977,0.9798,0.0249,1697.3,3000,1.67,1502.9,0.49,0.3329,0.4827,0.5639,0.0521,0.05,0.2,0
23,11243,174,0.3007,0.9798,0.0249,1703.5,3000,1.77,1487.7,0.52,0.3484,0.4833,0.5644,0.044,0.05,0.2,0
24,11621,180,0.3058,0.9798,0.0249,1728.4,3000,1.84,1482.0,0.52,0.2987,0.4834,0.5646,0.0401,0.05,0.2,0
25,12077,187,0.3178,0.9798,0.0249,1776.0,3000,2.05,1502.9,0.51,0.3426,0.483,0.5643,0.0493,0.05,0.2,0
26,12794,193,0.3177,0.9798,0.0249,1780.8,3000,2.02,1505.5,0.5,0.3098,0.4828,0.5642,0.0466,0.05,0.2,0
