generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
27,13189,199,0.3192,0.9798,0.0249,1783.4,3000,2.08,1496.2,0.51,0.3366,0.4828,0.5642,0.0721,0.05,0.2,0
28,13879,157,0.3838,0.9798,0.2002,2124.3,3000,2.73,1642.6,0.28,0.3175,0.4821,0.5639,0.0735,0.05,0.2,0
29,14621,165,0.3884,0.9798,0.1143,2142.6,3000,2.82,1633.5,0.27,0.2907,0.4819,0.5638,0.0577,0.05,0.2,0
30,15077,173,0.3918,0.9798,0.0567,2143.9,3000,2.97,1635.6,0.29,0.3013,0.4819,0.5637,0.0586,0.05,0.2,0
31,16189,183,0.4037,0.9798,0.0567,2179.6,3000,3.22,1671.3,0.32,0.2999,0.482,0.5639,0.0487,0.05,0.2,0
32,17451,189,0.4073,0.9798,0.0567,2194.6,3000,3.28,1679.9,0.33,0.2831,0.4818,0.5637,0.0635,0.05,0.2,0
33,17621,197,0.4135,0.9798,0.0567,2218.5,3000,3.42,1687.0,0.34,0.2904,0.4818,0.5637,0.0947,0.05,0.2,0
34,18077,154,0.4921,0.9798,0.2105,2539.4,3000,4.69,1906.8,0.4,0.2767,0.481,0.5633,0.0533,0.05,0.2,0
35,19189,165,0.4881,0.9798,0.0763,2528.8,3000,4.6,1882.7,0.39,0.3026,0.4812,0.5636,0.0911,0.05,0.2,0
36,20451,175,0.4861,0.9798,0.0763,2515.8,3000,4.57,1902.9,0.4,0.2617,0.4813,0.5639,0.0885,0.05,0.2,0
37,20708,181,0.4874,0.9798,0.0763,2523.6,3000,4.58,1898.3,0.39,0.2855,0.4813,0.5639,0.0783,0.05,0.2,0
38,21077,187,0.4879,0.9798,0.0763,2523.8,3000,4.61,1880.3,0.39,0.2428,0.4814,0.564,0.0849,0.05,0.2,0
39,22189,196,0.4903,0.9831,0.0763,2524.8,3000,4.72,1896.7,0.38,0.3003,0.4818,0.5642,0.1018,0.05,0.2,0
40,23451,157,0.5738,0.9831,0.3323,2845.6,3000,6.11,2235.0,0.39,0.2321,0.4806,0.5633,0.1769,0.05,0.2,0
41,24077,167,0.5756,0.9831,0.2068,2845.3,3000,6.16,2266.8,0.41,0.2526,0.481,0.5637,0.1106,0.05,0.2,0
42,25189,176,0.5758,0.9831,0.1989,2842.8,3000,6.19,2253.3,0.41,0.284,0.481,0.5636,0.0907,0.05,0.2,0
43,26349,182,0.564,0.9831,0.0201,2796.6,3000,6.0,2199.5,0.42,0.2869,0.481,0.5634,0.1732,0.05,0.2,0
44,26451,192,0.5662,0.9831,0.0201,2807.2,3000,6.02,2207.4,0.4,0.2878,0.4809,0.5634,0.197,0.05,0.2,0
45,27077,200,0.5657,0.9831,0.0201,2786.2,3000,6.15,2187.0,0.4,0.2474,0.4812,0.5637,0.1245,0.05,0.2,0
46,28189,159,0.6257,0.9831,0.1947,2944.3,3000,7.52,2471.6,0.41,0.2648,0.4809,0.5636,0.1654,0.05,0.2,0
47,29349,166,0.6179,0.9831,0.0656,2918.6,3000,7.33,2474.4,0.42,0.2488,0.4812,0.5639,0.1276,0.05,0.2,0
48,29451,175,0.6138,0.9831,0.0656,2908.4,3000,7.23,2456.3,0.41,0.259,0.4814,0.5642,0.1491,0.05,0.2,0
49,30077,185,0.6035,0.9831,0.0268,2861.9,3000,7.07,2438.9,0.46,0.2836,0.4818,0.5647,0.22,0.05,0.2,0
50,31189,194,0.6024,0.9831,0.0268,2840.0,3000,7.19,2408.2,0.5,0.228,0.4819,0.5647,0.1405,0.05,0.2,0
51,32316,200,0.5934,0.9831,0.0268,2799.0,3000,7.08,2365.4,0.56,0.2864,0.482,0.5647,0.1233,0.05,0.2,0
52,32451,159,0.6571,0.9831,0.5392,2996.8,3000,8.4,2634.1,0.41,0.229,0.4817,0.5642,0.2136,0.05,0.2,0
53,33065,165,0.6459,0.9831,0.0484,2956.4,3000,8.19,2601.5,0.45,0.2315,0.482,0.5645,0.1879,0.05,0.2,0
54,33850,172,0.6393,0.9831,0.0484,2924.0,3000,8.11,2573.5,0.48,0.2537,0.4829,0.5654,0.1712,0.05,0.2,0
55,34489,178,0.6388,0.9936,0.0484,2917.7,3000,8.15,2570.4,0.49,0.276,0.4826,0.5651,0.2061,0.05,0.2,0
56,35344,184,0.6322,0.9936,0.0484,2899.9,3000,7.99,2546.7,0.48,0.2437,0.4824,0.565,0.2298,0.05,0.2,0
57,35451,191,0.6328,0.9936,0.0484,2903.5,3000,7.98,2556.0,0.47,0.2604,0.4823,0.5649,0.2448,0.05,0.2,0
58,36065,200,0.625,0.9936,0.031,2863.2,3000,7.89,2529.2,0.48,0.237,0.4832,0.5658,0.1719,0.05,0.2,0
59,36850,157,0.6782,0.9936,0.1995,2973.0,3000,9.29,2769.5,0.48,0.2404,0.484,0.5662,0.2769,0.05,0.2,0
60,37489,164,0.6735,0.9936,0.1995,2963.2,3000,9.15,2764.2,0.46,0.2565,0.4843,0.5665,0.2154,0.05,0.2,0
61,38344,170,0.6617,0.9936,0.082,2923.4,3000,8.95,2688.2,0.52,0.2284,0.4842,0.5662,0.1649,0.05,0.2,0
62,38451,176,0.6588,0.9936,0.082,2921.9,3000,8.86,2655.2,0.51,0.2518,0.4842,0.5663,0.2247,0.05,0.2,0
63,39065,185,0.6495,0.9936,0.0453,2883.6,3000,8.7,2631.3,0.51,0.2507,0.4843,0.5666,0.2254,0.05,0.2,0
64,39850,193,0.6437,0.9936,0.0254,2864.3,3000,8.58,2614.5,0.51,0.2588,0.4847,0.567,0.2009,0.05,0.2,0
65,41344,152,0.7029,1.0,0.5948,2997.0,3000,10.07,2918.1,0.49,0.254,0.4843,0.5667,0.2382,0.05,0.2,0
66,41620,158,0.6973,1.0,0.3241,2989.4,3000,9.87,2914.7,0.47,0.2585,0.4849,0.5673,0.2395,0.05,0.2,0
67,42065,166,0.7002,1.0,0.3241,2984.3,3000,10.2,2898.7,0.54,0.2421,0.4856,0.5681,0.2085,0.05,0.2,0
68,42850,173,0.6957,1.0,0.1996,2974.4,3000,10.08,2881.7,0.52,0.2598,0.4857,0.5683,0.1838,0.05,0.2,0
69,43495,179,0.6812,1.0,0.1117,2922.0,3000,9.8,2830.4,0.56,0.2554,0.4862,0.5688,0.2354,0.05,0.2,0
70,44344,188,0.6816,1.0,0.1117,2916.1,3000,9.85,2811.4,0.56,0.2106,0.4871,0.5696,0.2417,0.05,0.2,0
71,44723,194,0.6754,1.0,0.1117,2895.1,3000,9.71,2791.6,0.57,0.2388,0.4876,0.5701,0.2121,0.05,0.2,0
72,45065,151,0.7333,1.0,0.6163,2997.0,3000,11.4,3028.9,0.54,0.2689,0.4883,0.5708,0.1841,0.05,0.2,0
73,45850,157,0.723,1.0,0.1758,2972.0,3000,11.11,3012.6,0.54,0.2471,0.4884,0.5709,0.1512,0.05,0.2,0
74,46482,163,0.7056,1.0,0.1758,2919.5,3000,10.72,2958.9,0.53,0.2564,0.4888,0.5713,0.2264,0.05,0.2,0
75,46563,169,0.7001,1.0,0.1758,2913.5,3000,10.55,2920.6,0.51,0.2649,0.4893,0.5719,0.1961,0.05,0.2,0
76,47622,175,0.6924,1.0,0.1758,2898.9,3000,10.31,2921.7,0.51,0.2652,0.4896,0.5721,0.2617,0.05,0.2,0
77,48065,183,0.6917,1.0,0.0904,2889.3,3000,10.42,2936.2,0.52,0.2528,0.49,0.5725,0.1782,0.05,0.2,0
78,48897,189,0.6869,1.0,0.0904,2872.4,3000,10.31,2918.8,0.54,0.2663,0.4903,0.5729,0.1909,0.05,0.2,0
79,49482,199,0.6786,1.0,0.0904,2854.8,3000,10.08,2881.8,0.55,0.2684,0.4903,0.5729,0.1632,0.05,0.2,0
80,50434,155,0.741,1.0,0.0985,2964.6,3000,11.91,3144.3,0.64,0.2512,0.4914,0.5741,0.2767,0.05,0.2,0
81,50901,161,0.7338,1.0,0.0985,2945.6,3000,11.84,3102.6,0.65,0.2345,0.4919,0.5746,0.2277,0.05,0.2,0
82,51552,167,0.7279,1.0,0.0985,2933.1,3000,11.64,3107.7,0.68,0.2446,0.4919,0.5746,0.1849,0.05,0.2,0
83,51897,175,0.7178,1.0,0.0985,2911.3,3000,11.35,3070.1,0.66,0.2644,0.4925,0.5751,0.1764,0.05,0.2,0
84,52482,182,0.7131,1.0,0.0985,2905.2,3000,11.21,3027.1,0.66,0.28,0.4928,0.5754,0.2007,0.05,0.2,0
85,53227,188,0.6961,1.0,0.0539,2844.9,3000,10.88,2971.5,0.67,0.2594,0.4935,0.5761,0.2079,0.05,0.2,0
86,53437,194,0.6927,1.0,0.0539,2835.7,3000,10.79,2951.2,0.65,0.2719,0.4936,0.5761,0.1726,0.05,0.2,0
87,53901,200,0.6856,1.0,0.0539,2819.0,3000,10.56,2970.7,0.65,0.2789,0.494,0.5765,0.2153,0.05,0.2,0
88,54552,156,0.7567,1.0,0.0731,2972.3,3000,12.53,3235.6,0.68,0.2527,0.4945,0.577,0.2208,0.05,0.2,0
89,54897,163,0.7462,1.0,0.0731,2942.8,3000,12.36,3191.1,0.67,0.2321,0.4947,0.5773,0.1662,0.05,0.2,0
90,55482,169,0.7423,1.0,0.0731,2921.7,3000,12.35,3176.6,0.71,0.2419,0.4953,0.5779,0.3267,0.05,0.2,0
91,56437,178,0.7379,1.0,0.0731,2908.6,3000,12.24,3169.8,0.69,0.226,0.4947,0.5774,0.2638,0.05,0.2,0
92,56996,184,0.7316,1.0,0.0731,2890.1,3000,12.09,3134.4,0.68,0.2557,0.4952,0.5777,0.2101,0.05,0.2,0
93,57847,190,0.7248,1.0,0.0731,2875.3,3000,11.89,3115.7,0.71,0.2622,0.4956,0.5781,0.1866,0.05,0.2,0
94,57897,196,0.7255,1.0,0.0731,2879.1,3000,11.86,3138.6,0.71,0.2415,0.4957,0.5784,0.2475,0.05,0.2,0
95,58482,154,0.7916,1.0,0.6548,2997.7,3000,14.01,3274.0,0.67,0.2367,0.4972,0.5796,0.168,0.05,0.2,0
96,59437,167,0.7751,1.0,0.0689,2944.7,3000,13.63,3205.8,0.66,0.2455,0.498,0.5802,0.2629,0.05,0.2,0
97,59673,173,0.7556,1.0,0.0281,2886.7,3000,13.17,3155.0,0.65,0.2337,0.4983,0.5804,0.223,0.05,0.2,0
98,60545,179,0.7438,1.0,0.0281,2867.7,3000,12.8,3122.5,0.63,0.2767,0.4985,0.5806,0.2653,0.05,0.2,0
99,61292,185,0.735,1.0,0.0281,2847.9,3000,12.53,3121.5,0.61,0.2739,0.4988,0.581,0.183,0.05,0.2,0
100,62437,199,0.7285,1.0,0.0281,2848.1,3000,12.25,3077.2,0.59,0.2421,0.4989,0.5811,0.246,0.05,0.2,0
101,63545,159,0.8098,1.0,0.324,2990.0,3000,14.79,3360.8,0.62,0.2283,0.4993,0.5816,0.2814,0.05,0.2,0
102,64292,167,0.7981,1.0,0.0515,2950.1,3000,14.56,3328.8,0.65,0.2114,0.4998,0.5822,0.2571,0.05,0.2,0
103,65437,181,0.7806,1.0,0.0515,2929.0,3000,13.96,3247.6,0.62,0.2375,0.4998,0.5822,0.1921,0.05,0.2,0
104,66189,187,0.7627,1.0,0.0515,2877.4,3000,13.52,3203.9,0.61,0.2539,0.5,0.5824,0.311,0.05,0.2,0
105,66545,195,0.7568,1.0,0.0515,2867.1,3000,13.33,3192.2,0.62,0.2272,0.5,0.5823,0.26,0.05,0.2,0
106,67360,151,0.833,1.0,0.6924,2994.8,3000,15.75,3446.7,0.68,0.1967,0.5014,0.5839,0.3355,0.05,0.2,0
107,68437,165,0.8161,1.0,0.0617,2947.9,3000,15.35,3430.7,0.67,0.2298,0.5017,0.5842,0.295,0.05,0.2,0
108,69189,172,0.7971,1.0,0.0278,2897.1,3000,14.87,3366.1,0.7,0.2272,0.5017,0.5843,0.2873,0.05,0.2,0
109,69545,180,0.7893,1.0,0.0278,2886.5,3000,14.62,3345.0,0.7,0.2525,0.5013,0.5838,0.2862,0.05,0.2,0
110,70360,187,0.7749,1.0,0.0278,2851.9,3000,14.21,3324.5,0.67,0.2473,0.5018,0.5843,0.2649,0.05,0.2,0
111,71437,198,0.7631,1.0,0.0278,2825.4,3000,13.92,3310.4,0.71,0.2337,0.5021,0.5845,0.2206,0.05,0.2,0
112,72189,158,0.8464,1.0,0.0883,2976.9,3000,16.66,3537.0,0.72,0.2193,0.5025,0.5849,0.3164,0.05,0.2,0
113,72545,164,0.8385,1.0,0.0883,2964.2,3000,16.35,3550.8,0.75,0.2254,0.5023,0.5847,0.195,0.05,0.2,0
114,73360,171,0.8236,1.0,0.0804,2930.8,3000,15.92,3508.5,0.75,0.2103,0.5025,0.585,0.2793,0.05,0.2,0
115,74437,183,0.8051,1.0,0.0793,2890.9,3000,15.31,3499.8,0.72,0.2482,0.5032,0.5857,0.2388,0.05,0.2,0
116,74904,189,0.7889,1.0,0.0705,2845.2,3000,14.92,3437.0,0.77,0.2158,0.5034,0.5859,0.2661,0.05,0.2,0
117,75276,195,0.7836,1.0,0.0705,2827.8,3000,14.77,3419.4,0.78,0.2078,0.5035,0.586,0.2309,0.05,0.2,0
118,75616,151,0.8719,1.0,0.7332,2992.1,3000,17.69,3663.4,0.77,0.2135,0.5057,0.5876,0.3376,0.05,0.2,0
119,76360,159,0.8492,1.0,0.102,2933.0,3000,17.07,3596.9,0.76,0.2307,0.5062,0.588,0.3057,0.05,0.2,0
120,77357,165,0.828,1.0,0.102,2885.9,3000,16.47,3531.8,0.73,0.2057,0.5063,0.588,0.2283,0.05,0.2,0
121,77437,171,0.8259,1.0,0.102,2889.9,3000,16.33,3520.2,0.74,0.2297,0.5061,0.5879,0.2273,0.05,0.2,0
122,77904,177,0.8079,1.0,0.0261,2846.9,3000,15.83,3472.6,0.73,0.2415,0.5063,0.588,0.3121,0.05,0.2,0
123,78616,185,0.8046,1.0,0.0261,2845.0,3000,15.72,3470.1,0.74,0.2711,0.5066,0.5883,0.2923,0.05,0.2,0
124,79318,191,0.7871,1.0,0.0261,2802.8,3000,15.24,3418.4,0.72,0.2272,0.5069,0.5885,0.2955,0.05,0.2,0
125,79597,197,0.7797,1.0,0.0261,2778.1,3000,15.04,3407.0,0.77,0.2184,0.507,0.5887,0.274,0.05,0.2,0
126,80357,155,0.8813,1.0,0.486,2992.3,3000,18.17,3688.9,0.82,0.1825,0.5067,0.5885,0.2621,0.05,0.2,0
127,80625,161,0.8645,1.0,0.0368,2953.7,3000,17.69,3620.0,0.81,0.1855,0.5067,0.5886,0.2768,0.05,0.2,0
128,81591,167,0.8504,1.0,0.0368,2922.0,3000,17.25,3599.5,0.8,0.1858,0.507,0.5889,0.287,0.05,0.2,0
129,81875,173,0.8453,1.0,0.0368,2904.2,3000,17.32,3585.6,0.8,0.2182,0.5074,0.5892,0.317,0.05,0.2,0
130,82548,179,0.8304,1.0,0.0368,2875.3,3000,16.85,3544.3,0.8,0.2117,0.5078,0.5896,0.3082,0.05,0.2,0
131,82597,185,0.829,1.0,0.0368,2879.3,3000,16.74,3578.4,0.83,0.187,0.508,0.59,0.2476,0.05,0.2,0
132,83357,193,0.8157,1.0,0.0368,2852.6,3000,16.36,3560.3,0.82,0.2107,0.508,0.59,0.3278,0.05,0.2,0
133,84284,199,0.8041,1.0,0.0368,2834.2,3000,15.93,3566.6,0.8,0.2257,0.5082,0.59,0.3731,0.05,0.2,0
134,84875,157,0.8932,1.0,0.3143,2980.2,3000,19.07,3719.3,0.94,0.1756,0.5075,0.5896,0.2926,0.05,0.2,0
135,85548,163,0.8816,1.0,0.1998,2959.2,3000,18.65,3705.6,0.93,0.1937,0.5078,0.59,0.3715,0.05,0.2,0
136,85597,169,0.8826,1.0,0.1998,2960.6,3000,18.63,3714.1,0.93,0.1947,0.508,0.5901,0.3554,0.05,0.2,0
137,86357,177,0.8679,1.0,0.1998,2937.6,3000,18.16,3684.9,0.91,0.1814,0.5081,0.5903,0.3322,0.05,0.2,0
138,87132,183,0.8478,1.0,0.1533,2887.6,3000,17.61,3618.0,0.91,0.2216,0.5082,0.5905,0.3483,0.05,0.2,0
139,87875,191,0.8373,1.0,0.1533,2885.8,3000,17.12,3615.1,0.88,0.1862,0.5082,0.5904,0.2386,0.05,0.2,0
140,88548,199,0.8273,1.0,0.1533,2865.2,3000,16.83,3591.6,0.87,0.1952,0.5084,0.5906,0.2306,0.05,0.2,0
141,89036,155,0.8993,1.0,0.025,2959.6,3000,19.6,3769.0,0.94,0.1677,0.5097,0.5915,0.4006,0.05,0.2,0
142,89357,164,0.8819,1.0,0.025,2915.0,3000,19.13,3712.7,0.99,0.1946,0.5101,0.592,0.3436,0.05,0.2,0
143,90132,3,0.0571,0.0754,0.0408,374.7,498,0.0,358.5,2.0,0.1557,0.5093,0.598,0.8209,0.05,0.2,0
144,90875,180,0.844,1.0,0.025,2830.0,3000,17.94,3606.5,1.0,0.1855,0.5098,0.592,0.3836,0.05,0.2,0
145,91548,187,0.8442,1.0,0.025,2834.4,3000,17.89,3611.8,1.02,0.1662,0.5101,0.5923,0.2726,0.05,0.2,0
146,92143,193,0.8275,1.0,0.025,2795.2,3000,17.41,3553.5,1.01,0.1921,0.5102,0.5925,0.2992,0.05,0.2,0
147,92642,199,0.8231,1.0,0.025,2794.9,3000,17.18,3556.6,0.98,0.2208,0.5102,0.5924,0.3564,0.05,0.2,0
148,93132,158,0.9187,1.0,0.3364,2988.3,3000,20.37,3830.8,1.02,0.1856,0.5101,0.5921,0.3245,0.05,0.2,0
149,93875,164,0.8992,1.0,0.0258,2940.6,3000,19.81,3754.3,1.04,0.164,0.5101,0.5921,0.3065,0.05,0.2,0
150,94548,171,0.8888,1.0,0.0258,2929.4,3000,19.42,3750.5,1.06,0.176,0.5104,0.5924,0.3364,0.05,0.2,0
151,95143,179,0.8739,1.0,0.0258,2903.3,3000,18.86,3745.7,1.01,0.1706,0.5105,0.5923,0.3823,0.05,0.2,0
152,95642,186,0.8611,1.0,0.0258,2882.7,3000,18.38,3728.9,1.05,0.1818,0.5105,0.5925,0.4179,0.05,0.2,0
153,96132,196,0.8443,1.0,0.0258,2851.7,3000,17.8,3680.3,1.05,0.1837,0.5107,0.5928,0.402,0.05,0.2,0
154,96875,153,0.9304,1.0,0.6,2995.1,3000,20.97,3902.3,1.07,0.1674,0.5103,0.5923,0.3645,0.05,0.2,0
155,97531,159,0.9106,1.0,0.3241,2962.0,3000,20.27,3876.7,1.06,0.1541,0.5105,0.5925,0.3075,0.05,0.2,0
156,98143,166,0.9024,1.0,0.2451,2946.7,3000,19.91,3874.3,1.05,0.1581,0.5109,0.5928,0.3555,0.05,0.2,0
157,98642,172,0.8932,1.0,0.2451,2929.3,3000,19.55,3879.3,1.05,0.1582,0.5111,0.5931,0.3614,0.05,0.2,0
158,99132,178,0.8881,1.0,0.1989,2921.4,3000,19.3,3872.2,1.11,0.1519,0.5113,0.5934,0.2833,0.05,0.2,0
159,99875,186,0.8749,1.0,0.1989,2904.5,3000,18.83,3827.7,1.09,0.1692,0.5115,0.5937,0.3083,0.05,0.2,0
160,100531,192,0.8677,1.0,0.1986,2891.6,3000,18.56,3818.3,1.08,0.1991,0.5117,0.5939,0.3781,0.05,0.2,0
161,101092,198,0.8521,1.0,0.1986,2859.8,3000,18.1,3746.4,1.08,0.2082,0.5116,0.5939,0.3253,0.05,0.2,0
162,101162,154,0.9312,1.0,0.0989,2979.8,3000,21.14,3902.4,1.16,0.1361,0.5108,0.5931,0.3641,0.05,0.2,0
163,101771,160,0.9148,1.0,0.0406,2948.6,3000,20.58,3864.7,1.14,0.1421,0.511,0.5933,0.2964,0.05,0.2,0
164,102132,166,0.9024,1.0,0.0377,2910.5,3000,20.31,3826.9,1.17,0.1517,0.5111,0.5935,0.3527,0.05,0.2,0
165,102856,172,0.8825,1.0,0.0377,2862.4,3000,19.72,3767.6,1.2,0.1818,0.5113,0.5937,0.2856,0.05,0.2,0
166,103023,178,0.8727,1.0,0.0377,2844.0,3000,19.37,3753.5,1.24,0.1908,0.5116,0.594,0.3999,0.05,0.2,0
167,103531,186,0.8552,1.0,0.0259,2809.1,3000,18.77,3718.1,1.22,0.1798,0.5118,0.5941,0.3533,0.05,0.2,0
168,104231,192,0.8423,1.0,0.0259,2786.0,3000,18.33,3680.8,1.24,0.182,0.512,0.5944,0.3229,0.05,0.2,0
169,104936,198,0.8311,1.0,0.0259,2767.1,3000,17.92,3664.9,1.24,0.1869,0.5119,0.5944,0.3106,0.05,0.2,0
170,105424,154,0.9432,1.0,0.5532,2991.3,3000,21.69,3911.8,1.29,0.1557,0.5112,0.5938,0.3526,0.05,0.2,0
171,106040,160,0.9378,1.0,0.5532,2988.5,3000,21.44,3900.2,1.31,0.1504,0.5114,0.594,0.3795,0.05,0.2,0
172,106495,166,0.9153,1.0,0.1991,2937.9,3000,20.75,3840.0,1.29,0.1532,0.5114,0.5941,0.3676,0.05,0.2,0
173,107184,172,0.9071,1.0,0.1991,2928.8,3000,20.39,3822.9,1.26,0.1543,0.5114,0.594,0.3757,0.05,0.2,0
174,107231,178,0.9002,1.0,0.1988,2920.8,3000,20.11,3818.2,1.26,0.1538,0.5114,0.5941,0.3325,0.05,0.2,0
175,108357,184,0.883,1.0,0.0578,2877.7,3000,19.6,3767.0,1.28,0.1867,0.5116,0.5944,0.3099,0.05,0.2,0
176,108512,190,0.8748,1.0,0.0239,2857.0,3000,19.45,3744.4,1.33,0.1969,0.5117,0.5946,0.3479,0.05,0.2,0
177,109242,196,0.8681,1.0,0.0239,2860.1,3000,19.09,3736.7,1.33,0.1664,0.5116,0.5945,0.358,0.05,0.2,0
178,110094,152,0.9508,1.0,0.4655,2996.4,3000,22.28,3929.1,1.38,0.1487,0.511,0.5939,0.3301,0.05,0.2,0
179,110231,160,0.9407,1.0,0.3266,2989.4,3000,21.84,3910.6,1.38,0.1903,0.5108,0.5939,0.35,0.05,0.2,0
180,111047,166,0.9131,1.0,0.054,2918.8,3000,21.07,3811.3,1.38,0.1442,0.5109,0.594,0.3272,0.05,0.2,0
181,111379,172,0.9003,1.0,0.054,2900.5,3000,20.57,3779.5,1.39,0.1517,0.5111,0.5942,0.3721,0.05,0.2,0
182,111512,178,0.8953,1.0,0.054,2894.0,3000,20.35,3773.6,1.4,0.175,0.5111,0.5943,0.3958,0.05,0.2,0
183,112242,184,0.8837,1.0,0.054,2868.2,3000,19.95,3751.1,1.41,0.175,0.511,0.5943,0.3177,0.05,0.2,0
184,113094,192,0.8677,1.0,0.054,2837.3,3000,19.44,3719.9,1.41,0.1634,0.5109,0.5941,0.3492,0.05,0.2,0
185,113335,198,0.8574,1.0,0.0347,2816.7,3000,19.06,3706.5,1.44,0.196,0.5108,0.5942,0.3726,0.05,0.2,0
186,114047,155,0.9534,1.0,0.3242,2989.5,3000,22.54,3959.7,1.4,0.1481,0.512,0.595,0.2959,0.05,0.2,0
187,114512,164,0.9372,1.0,0.0353,2962.0,3000,21.88,3925.3,1.37,0.1687,0.5121,0.5953,0.3251,0.05,0.2,0
