generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
1,500,27,30,3,500,500.0,500.0,0.1321,0.2447,0.0784,0.122,0.1551,0.194,0.0462,0.3511,3.838,-0.0105,0.5366,-0.0606,0.5558,0.4074,0.0,0.0,0.2222,0.2222,0.1481,0,3,0,0.9746,0.4817,0.5618,10.8532,2,11
1,1000,25,30,5,1000,1000.0,1000.0,0.2591,0.6924,0.1609,0.2188,0.3094,0.3713,0.1159,0.3624,3.8333,-0.0607,0.5364,-0.0641,0.5812,0.4,0.0,0.0,0.24,0.16,0.2,0,2,0,0.9732,0.4801,0.5604,10.8374,6,13
1,1500,20,30,10,1500,1500.0,1500.0,0.3911,0.7889,0.2847,0.3476,0.4492,0.5552,0.1339,0.3612,3.5464,-0.1478,0.4687,-0.0736,0.6266,0.45,0.0,0.0,0.25,0.05,0.25,0,5,0,0.9725,0.4823,0.5614,10.8295,0,0
1,2000,15,30,15,2000,2000.0,2000.0,0.5288,0.8667,0.3866,0.4858,0.5769,0.7746,0.153,0.3468,3.3232,-0.2151,0.4383,-0.1129,0.5994,0.4667,0.0,0.0,0.2,0.0667,0.2667,0,5,0,0.9714,0.4807,0.5605,10.8167,15,8
2,2500,19,36,17,2500,1961.3,2500.0,0.5064,0.9333,0.1091,0.522,0.6694,0.8522,0.2749,0.3848,3.3264,-0.0726,0.513,0.0835,0.6498,0.3684,0.0,0.0,0.1579,0.1579,0.3158,6,2,4,0.9702,0.4847,0.5653,10.804,2,3
3,3000,20,52,32,953,190.6,0.0,0.0459,0.2873,0.0,0.0,0.0,0.2165,0.0943,0.0919,0.7476,0.05,0.1961,0.1153,0.2723,0.0,0.0,0.0,0.0,0.05,0.95,16,15,8,0.9459,0.4965,0.5787,10.5336,235,28
3,3500,19,52,33,1453,650.5,500.0,0.2006,0.437,0.094,0.174,0.2651,0.396,0.1175,0.3434,3.4714,-0.1476,0.44,0.1195,0.6113,0.3158,0.0,0.0,0.3158,0.1053,0.2632,0,1,8,0.9408,0.4963,0.5781,10.4761,0,0
3,4000,17,52,35,1953,1112.1,1000.0,0.3534,0.6965,0.1881,0.3146,0.4399,0.5532,0.1561,0.3312,3.3372,-0.1244,0.4476,0.0726,0.5645,0.2941,0.0,0.0,0.2941,0.1765,0.2353,0,2,8,0.9464,0.4971,0.5792,10.5387,2,1
3,4500,17,52,35,2453,1612.1,1500.0,0.4895,0.7935,0.2645,0.4496,0.6521,0.7572,0.1908,0.3328,3.3372,-0.1394,0.467,0.0736,0.5546,0.2941,0.0,0.0,0.4118,0.1765,0.1176,0,0,8,0.9464,0.4971,0.5792,10.5387,0,0
3,5000,15,52,37,2953,2127.1,2000.0,0.616,0.8667,0.3231,0.5895,0.8027,0.852,0.1992,0.3362,3.3736,-0.0907,0.4582,-0.0043,0.5588,0.2667,0.0,0.0,0.2667,0.2,0.2667,0,2,8,0.9473,0.5018,0.5838,10.5487,3,1
4,5500,17,59,42,2500,1657.1,2500.0,0.5249,0.9333,0.0906,0.5833,0.8564,0.931,0.3158,0.2929,3.1019,-0.0753,0.3874,0.1749,0.4963,0.1765,0.0,0.0,0.2353,0.1765,0.4118,7,5,4,0.9333,0.4946,0.5757,10.3933,32,12
5,6000,20,73,53,953,285.9,0.0,0.1031,0.6856,0.0,0.0,0.1861,0.3097,0.1886,0.1314,1.5568,-0.0099,0.1725,0.1133,0.327,0.05,0.0,0.0,0.1,0.05,0.8,14,11,10,0.9317,0.4996,0.5818,10.3751,230,15
5,6500,18,73,55,1453,764.7,500.0,0.2456,0.7813,0.0716,0.1404,0.3205,0.5078,0.2149,0.3236,3.4194,-0.0762,0.4089,0.1352,0.5768,0.2778,0.0,0.0,0.2222,0.1667,0.3333,0,2,10,0.9193,0.4987,0.5814,10.2367,2,5
5,7000,15,73,58,1953,1254.1,1000.0,0.3982,0.8604,0.1931,0.2621,0.5594,0.7947,0.2422,0.336,3.0566,-0.1016,0.393,0.0788,0.6099,0.3333,0.0,0.0,0.2,0.1333,0.3333,0,3,10,0.9064,0.494,0.5763,10.0928,5,9
5,7500,15,73,58,2453,1754.1,1500.0,0.5301,0.9271,0.3227,0.429,0.7141,0.8744,0.2233,0.3138,3.0566,-0.1189,0.3651,0.06,0.5751,0.3333,0.0,0.0,0.2,0.1333,0.3333,0,0,10,0.9064,0.494,0.5763,10.0928,0,0
6,8000,17,79,62,2953,1772.5,2000.0,0.5268,0.9937,0.119,0.5074,0.7383,0.9175,0.3062,0.2781,3.4104,-0.1929,0.31,0.165,0.5206,0.2941,0.0,0.0,0.2941,0.0588,0.3529,6,4,5,0.8483,0.4891,0.5728,9.4466,13,17
7,8500,19,87,68,2500,1422.5,964.0,0.4206,0.9333,0.1177,0.3113,0.6112,0.9333,0.2925,0.2891,3.2608,-0.2572,0.335,0.2556,0.5451,0.2632,0.0,0.0,0.3158,0.0526,0.3684,8,6,6,0.8268,0.4911,0.5756,9.2067,120,11
8,9000,20,97,77,1464,578.7,476.5,0.1764,0.6724,0.0,0.0815,0.3366,0.4596,0.2023,0.2016,2.3232,-0.1918,0.2772,0.1568,0.4006,0.1,0.0,0.0,0.25,0.0,0.65,10,9,7,0.812,0.491,0.5775,9.0424,171,25
8,9500,19,97,78,1964,1059.0,500.0,0.3223,0.8119,0.1162,0.2617,0.4637,0.5768,0.2012,0.2561,3.2158,-0.2703,0.3048,0.2657,0.4805,0.2105,0.0,0.0,0.3158,0.0526,0.4211,0,1,7,0.7944,0.489,0.5757,8.8462,2,3
8,10000,18,97,79,2464,1537.1,1000.0,0.483,0.9285,0.2255,0.4626,0.582,0.8056,0.2134,0.241,2.8163,-0.2353,0.2763,0.3049,0.4577,0.1667,0.0,0.0,0.2778,0.0,0.5556,0,1,7,0.7935,0.4863,0.5728,8.8361,2,3
8,10500,18,97,79,2964,2037.1,1500.0,0.6267,0.9952,0.3497,0.6087,0.7763,0.9475,0.2264,0.2304,3.0805,-0.2335,0.26,0.2959,0.4426,0.1667,0.0,0.0,0.2778,0.0,0.5556,0,0,7,0.7935,0.4863,0.5728,8.8361,0,0
9,11000,20,103,83,2953,1729.8,2000.0,0.5081,0.9937,0.0971,0.5505,0.7841,0.8667,0.2986,0.2807,3.3842,-0.2957,0.3054,0.1173,0.5296,0.3,0.0,0.0,0.3,0.0,0.4,6,4,5,0.8615,0.494,0.5806,9.593,79,11
9,11500,16,103,87,2500,1924.0,2500.0,0.5566,0.9333,0.1833,0.5937,0.7981,0.9333,0.2833,0.2842,3.2028,-0.2785,0.3246,0.0431,0.5183,0.3125,0.0,0.0,0.3125,0.0,0.375,0,4,5,0.8303,0.4966,0.5847,9.2463,58,3
10,12000,20,117,97,1464,439.2,0.0,0.1126,0.7839,0.0,0.0,0.219,0.3166,0.203,0.1445,1.6568,-0.1029,0.2596,-0.098,0.3141,0.25,0.0,0.0,0.05,0.0,0.7,14,10,13,0.8486,0.4856,0.574,9.4491,177,30
10,12500,18,117,99,1964,825.3,500.0,0.271,0.8619,0.1003,0.1887,0.329,0.5246,0.203,0.3041,3.5033,-0.046,0.3233,0.2276,0.5839,0.2222,0.0,0.0,0.1667,0.2222,0.3889,0,2,13,0.8437,0.482,0.5709,9.3956,1,1
10,13000,17,117,100,2464,1344.5,1000.0,0.4374,0.9285,0.2301,0.3731,0.5558,0.6807,0.2016,0.3126,3.1751,-0.0889,0.3445,0.2356,0.5986,0.2941,0.0,0.0,0.1765,0.0588,0.4706,0,1,13,0.8561,0.4836,0.572,9.5333,0,1
10,13500,16,117,101,2964,1774.5,1500.0,0.5822,0.9952,0.3279,0.5587,0.7894,0.844,0.2193,0.307,3.0244,-0.0756,0.3772,0.3028,0.5681,0.25,0.0,0.0,0.1875,0.125,0.4375,0,1,13,0.8541,0.4823,0.5709,9.5112,2,1
11,14000,20,125,105,2000,1385.6,2000.0,0.4526,0.8667,0.1071,0.4954,0.6979,0.8667,0.2963,0.2113,2.9464,-0.0149,0.3168,0.4313,0.3513,0.05,0.0,0.0,0.25,0.15,0.55,8,4,7,0.8354,0.4867,0.5743,9.3032,67,1
11,14500,20,125,105,2500,1885.6,2500.0,0.5764,0.9333,0.2153,0.6286,0.8896,0.9333,0.2814,0.2144,2.7087,-0.0276,0.3021,0.3986,0.3731,0.0,0.0,0.0,0.15,0.15,0.7,0,0,7,0.8354,0.4867,0.5743,9.3032,0,0
12,15000,20,137,117,1464,585.6,0.0,0.1523,0.6222,0.0,0.0,0.3045,0.4257,0.1992,0.1026,1.154,-0.0089,0.1309,0.0984,0.2463,0.0,0.75,0.0,0.0,0.05,0.2,12,12,11,0.8071,0.4846,0.5727,8.9878,239,49
12,15500,17,137,120,1964,1016.7,500.0,0.33,0.7348,0.1124,0.2482,0.4802,0.6261,0.2009,0.209,2.6601,-0.1044,0.2856,0.4835,0.3635,0.0,0.0,0.0,0.2353,0.0588,0.7059,0,3,11,0.7793,0.4798,0.568,8.6778,2,2
12,16000,16,137,121,2464,1549.0,1000.0,0.5038,0.9285,0.264,0.4967,0.6429,0.7752,0.2117,0.2219,2.555,-0.1256,0.2892,0.4463,0.3958,0.0625,0.0,0.0,0.25,0.0625,0.625,0,1,11,0.7987,0.4807,0.5684,8.8936,5,6
13,16500,20,143,123,2964,1525.8,1500.0,0.4949,0.9952,0.0446,0.6042,0.7577,0.8527,0.3293,0.2062,2.7087,-0.0799,0.3205,0.4872,0.3225,0.0,0.0,0.0,0.2,0.15,0.65,6,2,6,0.802,0.4801,0.5673,8.9304,5,7
14,17000,20,149,129,2000,1125.8,622.0,0.3886,0.8667,0.1149,0.2661,0.6417,0.8217,0.2895,0.2181,2.5955,-0.0851,0.2909,0.5145,0.4288,0.05,0.0,0.0,0.2,0.15,0.6,6,6,5,0.7875,0.4806,0.5711,8.7691,82,18
14,17500,18,149,131,2500,1605.2,1122.0,0.5207,0.9333,0.3151,0.4112,0.6558,0.9333,0.246,0.223,2.5918,-0.1176,0.2916,0.5091,0.4401,0.0556,0.0,0.0,0.2778,0.1111,0.5556,0,2,5,0.7937,0.4816,0.5723,8.8383,18,16
15,18000,20,158,138,1622,844.7,1464.0,0.2801,0.7191,0.0,0.2822,0.512,0.6417,0.2742,0.1928,2.061,0.0117,0.1817,0.241,0.4369,0.05,0.0,0.0,0.05,0.1,0.8,9,7,8,0.8164,0.4857,0.5777,9.0915,145,44
15,18500,19,158,139,2122,1312.1,1964.0,0.422,0.8829,0.1204,0.4481,0.6224,0.8019,0.2707,0.1689,2.4371,-0.0743,0.2118,0.5362,0.3097,0.0,0.0,0.0,0.2632,0.1053,0.6316,0,1,8,0.7962,0.4839,0.576,8.8666,0,0
15,19000,19,158,139,2622,1812.1,2464.0,0.5531,0.9496,0.2654,0.5845,0.7266,0.8885,0.2391,0.1699,2.4843,-0.1408,0.246,0.5685,0.275,0.0,0.0,0.0,0.4211,0.0526,0.5263,0,0,8,0.7962,0.4839,0.576,8.8666,0,0
16,19500,20,164,144,2964,1452.6,1500.0,0.4507,0.9952,0.045,0.4458,0.6535,0.8602,0.3142,0.1603,2.4211,-0.1655,0.2263,0.594,0.2678,0.0,0.0,0.0,0.4,0.0,0.6,6,5,6,0.707,0.4781,0.5702,7.8728,70,13
16,20000,15,164,149,2000,1448.8,2000.0,0.4843,0.8667,0.2546,0.5167,0.6103,0.7462,0.2037,0.1355,2.2892,-0.1888,0.2091,0.6106,0.2062,0.0,0.0,0.0,0.4,0.0,0.6,0,5,6,0.7227,0.476,0.5669,8.0478,88,13
17,20500,20,170,150,2500,1504.8,1122.0,0.4813,0.9333,0.1136,0.4693,0.7146,0.8658,0.2839,0.1693,2.4842,-0.1931,0.2628,0.5402,0.311,0.05,0.0,0.0,0.4,0.05,0.5,6,1,6,0.7027,0.4762,0.5695,7.8244,6,6
18,21000,20,179,159,1622,654.8,831.0,0.2253,0.661,0.0,0.1747,0.375,0.6188,0.2428,0.203,1.9129,-0.0816,0.2556,0.3167,0.4157,0.05,0.0,0.0,0.1,0.05,0.8,9,9,8,0.6539,0.4704,0.5631,7.2819,141,21
18,21500,19,179,160,2122,1189.3,1331.0,0.3836,0.8329,0.1464,0.3752,0.5221,0.7879,0.248,0.2192,2.4973,-0.1433,0.3075,0.5313,0.4662,0.1053,0.0,0.0,0.3158,0.1579,0.4211,0,1,8,0.6159,0.4679,0.5609,6.8579,0,3
18,22000,16,179,163,2622,1563.8,1415.5,0.5253,0.9496,0.2529,0.4523,0.6754,0.9496,0.2548,0.1712,2.375,-0.1064,0.232,0.608,0.3905,0.0625,0.0,0.0,0.25,0.125,0.5625,0,3,8,0.5488,0.4659,0.5608,6.1108,19,7
19,22500,20,187,167,2331,1115.0,1500.0,0.3541,0.9108,0.0238,0.3358,0.5767,0.7233,0.293,0.1982,2.5219,-0.1218,0.2708,0.5595,0.3983,0.05,0.0,0.0,0.3,0.05,0.6,8,4,7,0.6173,0.4714,0.5662,6.8743,78,22
19,23000,20,187,167,2831,1615.0,2000.0,0.503,0.9775,0.172,0.4367,0.7292,0.8731,0.2782,0.2013,2.4842,-0.1212,0.264,0.5543,0.4171,0.05,0.0,0.0,0.25,0.05,0.65,0,0,7,0.6173,0.4714,0.5662,6.8743,0,0
