generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_std,mature_agent_count,mature_average_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
14,13000,19,128,109,2151,1101.5,1000.0,0.2943,0.8247,0.2277,19,0.2943,0.0633,0.1813,0.4537,0.6368,0.2796,2.8656,0.3342,0.32,0.0253,0.5224,0.3158,0.0,0.0,0.0,0.5789,0.1053,7,7,6,0.8803,0.5077,0.5895,9.8032,64,10
14,13500,17,128,111,2651,1613.5,1500.0,0.4499,0.9148,0.2528,17,0.4499,0.185,0.3678,0.5745,0.8418,0.2691,3.0575,0.2888,0.2908,-0.0344,0.5076,0.3529,0.0,0.0,0.0,0.5294,0.1176,0,2,6,0.8824,0.5066,0.5879,9.8257,1,2
15,14000,20,138,118,2000,862.2,720.0,0.2537,0.6641,0.2128,10,0.4461,0.2915,0.4458,0.5108,0.6079,0.3151,3.5087,0.0746,0.3863,0.0436,0.5712,0.35,0.0,0.0,0.15,0.2,0.3,10,7,8,0.9042,0.5073,0.59,10.0691,102,5
15,14500,20,138,118,2500,1362.2,1220.0,0.3991,0.7627,0.1987,20,0.3991,0.1876,0.3975,0.5732,0.6189,0.3243,3.5219,0.0803,0.396,0.0533,0.5884,0.3,0.0,0.0,0.15,0.25,0.3,0,0,8,0.9042,0.5073,0.59,10.0691,0,0
15,15000,15,138,123,2289,1606.2,1151.0,0.5077,0.9052,0.2085,15,0.5077,0.3086,0.425,0.6815,0.7967,0.2857,3.3232,0.0278,0.3069,0.0672,0.5415,0.3333,0.0,0.0,0.2667,0.2,0.2,0,5,8,0.9211,0.5103,0.5932,10.257,27,6
15,15500,15,138,123,2789,2106.2,1651.0,0.6334,0.9719,0.2044,15,0.6334,0.3868,0.5722,0.7964,0.9006,0.2818,3.1899,0.0325,0.3168,0.0255,0.5261,0.3333,0.0,0.0,0.2667,0.2667,0.1333,0,0,8,0.9211,0.5103,0.5932,10.257,0,0
16,16000,20,149,129,2151,1126.9,289.0,0.3437,0.8868,0.2815,20,0.3437,0.0876,0.1527,0.6038,0.6768,0.2864,3.2464,0.0044,0.3357,0.1049,0.534,0.25,0.0,0.0,0.15,0.2,0.4,11,6,8,0.9447,0.506,0.5909,10.5199,96,9
16,16500,18,149,131,2651,1616.6,789.0,0.4869,0.9535,0.2492,18,0.4869,0.2291,0.4513,0.7161,0.808,0.276,2.7527,0.0923,0.2844,0.0522,0.5482,0.2222,0.0,0.0,0.0556,0.2222,0.5,0,2,8,0.9458,0.5044,0.589,10.5325,4,4
17,17000,20,159,139,1289,720.0,720.0,0.2502,0.7444,0.2219,10,0.4446,0.3034,0.3919,0.4974,0.6798,0.259,3.2842,0.2083,0.3084,0.0884,0.478,0.2,0.0,0.0,0.05,0.3,0.45,10,8,10,0.9341,0.5007,0.5859,10.4015,119,10
17,17500,20,159,139,1789,1220.0,1220.0,0.387,0.8385,0.2181,20,0.387,0.1433,0.3781,0.545,0.6585,0.2603,3.3087,0.2219,0.3295,0.0211,0.461,0.25,0.0,0.0,0.05,0.4,0.3,0,0,10,0.9341,0.5007,0.5859,10.4015,0,0
17,18000,19,159,140,2289,1690.1,1151.0,0.5168,0.9052,0.2133,19,0.5168,0.2599,0.5802,0.6642,0.7862,0.2622,3.3264,0.2228,0.3085,0.0091,0.4805,0.2632,0.0,0.0,0.0526,0.4211,0.2632,0,1,10,0.9314,0.5019,0.5877,10.3711,2,1
17,18500,18,159,141,2789,2156.8,1651.0,0.636,0.9719,0.2115,18,0.636,0.3808,0.6833,0.7968,0.9068,0.2514,3.086,0.195,0.259,-0.0302,0.4871,0.3333,0.0,0.0,0.0556,0.3333,0.2778,0,1,10,0.9318,0.4994,0.5849,10.3765,12,6
18,19000,20,169,149,2151,1220.0,1220.0,0.3517,0.8868,0.2699,20,0.3517,0.0684,0.3298,0.5267,0.6304,0.2947,3.5464,0.2585,0.382,0.0572,0.5152,0.3,0.0,0.0,0.1,0.5,0.1,10,8,9,0.9375,0.4977,0.5842,10.4391,162,3
18,19500,17,169,152,2651,1774.8,2651.0,0.4941,0.9535,0.2674,17,0.4941,0.1616,0.5739,0.7002,0.8152,0.2791,3.4548,0.3554,0.3372,-0.0589,0.5054,0.3529,0.0,0.0,0.0,0.4706,0.1765,0,3,9,0.9185,0.4957,0.5823,10.2284,7,10
19,20000,20,181,161,1289,606.2,151.0,0.1875,0.5513,0.1902,8,0.4024,0.2724,0.3978,0.5107,0.5483,0.3098,3.7219,0.1529,0.4115,0.0496,0.5408,0.3,0.0,0.0,0.15,0.35,0.2,12,9,12,0.9375,0.5071,0.5942,10.4392,144,16
19,20500,20,181,161,1789,1106.2,651.0,0.3188,0.6796,0.1896,20,0.3188,0.127,0.2478,0.4464,0.6635,0.3213,3.0464,0.1141,0.4092,0.0475,0.5804,0.35,0.0,0.0,0.2,0.4,0.05,0,0,12,0.9375,0.5071,0.5942,10.4392,0,0
19,21000,17,181,164,2289,1619.6,1151.0,0.446,0.889,0.1997,17,0.446,0.2485,0.4104,0.53,0.7252,0.294,2.6313,0.1787,0.3516,-0.0806,0.5543,0.4706,0.0,0.0,0.1765,0.3529,0.0,0,3,12,0.9449,0.5057,0.5916,10.5215,14,8
20,21500,20,187,167,2789,1449.8,1651.0,0.3796,0.9705,0.292,14,0.5381,0.3597,0.4837,0.607,0.8449,0.3218,3.2842,0.1783,0.3631,-0.0539,0.6217,0.5,0.0,0.0,0.1,0.25,0.15,6,3,6,0.9325,0.5054,0.5926,10.384,28,24
21,22000,20,193,173,2151,1106.7,532.0,0.3264,0.7618,0.2318,20,0.3264,0.0978,0.2292,0.5306,0.6547,0.3088,3.0464,0.1493,0.2999,0.0345,0.622,0.5,0.0,0.0,0.05,0.2,0.25,6,6,5,0.8892,0.5079,0.5952,9.9017,65,7
21,22500,19,193,174,2651,1636.9,1032.0,0.46,0.8535,0.2305,19,0.46,0.1884,0.3995,0.6629,0.7868,0.3106,3.1556,0.1419,0.2989,-0.0107,0.625,0.4211,0.0,0.0,0.1053,0.2105,0.2632,0,1,5,0.8787,0.5102,0.5975,9.7849,4,6
22,23000,20,202,182,1532,837.6,1289.0,0.2617,0.7284,0.2036,11,0.4176,0.2877,0.3838,0.5041,0.5222,0.3262,3.0087,0.1392,0.324,0.1549,0.6462,0.35,0.0,0.0,0.05,0.25,0.35,9,8,9,0.9043,0.508,0.5951,10.0698,109,9
22,23500,20,202,182,2032,1337.7,1789.0,0.4003,0.8385,0.1919,20,0.4003,0.1807,0.3727,0.5225,0.628,0.3107,3.3464,0.15,0.3287,0.1084,0.599,0.3,0.0,0.0,0.05,0.4,0.25,0,0,9,0.9043,0.508,0.5951,10.0698,0,0
22,24000,19,202,183,2532,1813.9,2289.0,0.5387,0.9052,0.1858,19,0.5387,0.3358,0.5063,0.6549,0.7789,0.2892,3.1953,0.1241,0.3056,0.0407,0.5643,0.3684,0.0,0.0,0.0526,0.2632,0.3158,0,1,9,0.8928,0.5082,0.595,9.9419,7,5
23,24500,20,208,188,2789,1449.8,1651.0,0.4392,0.9719,0.328,14,0.6249,0.4336,0.6197,0.7614,0.8887,0.2973,3.5219,0.0999,0.3435,0.1743,0.5461,0.3,0.0,0.0,0.2,0.25,0.25,6,5,6,0.914,0.5056,0.5919,10.1783,64,4
23,25000,15,208,193,2151,1503.4,2151.0,0.4865,0.8868,0.2817,15,0.4865,0.1219,0.6118,0.738,0.8355,0.3128,3.1899,0.1541,0.3986,0.2043,0.5302,0.1333,0.0,0.0,0.1333,0.4,0.3333,0,5,6,0.9,0.502,0.5884,10.0224,78,11
24,25500,20,214,194,2651,1599.8,1032.0,0.4815,0.9535,0.3315,20,0.4815,0.1032,0.3979,0.8216,0.9189,0.3282,3.8219,0.1085,0.5088,0.0522,0.4945,0.25,0.0,0.0,0.2,0.45,0.1,6,1,6,0.9152,0.4999,0.5854,10.1907,1,4
25,26000,20,225,205,1532,638.5,151.0,0.1899,0.6758,0.1998,9,0.3711,0.2035,0.2763,0.4449,0.6379,0.3209,3.7842,0.2188,0.4485,0.1099,0.539,0.3,0.0,0.0,0.15,0.4,0.15,11,11,10,0.9167,0.504,0.5893,10.2077,180,14
25,26500,20,225,205,2032,1138.5,651.0,0.3352,0.8709,0.2164,20,0.3352,0.1536,0.2408,0.4364,0.5611,0.325,3.6464,0.2029,0.4549,0.1014,0.536,0.25,0.0,0.0,0.2,0.4,0.15,0,0,10,0.9167,0.504,0.5893,10.2077,0,0
25,27000,20,225,205,2532,1638.5,1151.0,0.4549,0.9376,0.1992,20,0.4549,0.2698,0.3805,0.5713,0.6849,0.3218,3.6842,0.1902,0.4604,0.0924,0.5256,0.3,0.0,0.0,0.2,0.35,0.15,0,0,10,0.9167,0.504,0.5893,10.2077,0,0
25,27500,15,225,210,2496,1932.7,1651.0,0.4941,0.7805,0.1183,15,0.4941,0.3558,0.466,0.5437,0.6335,0.3128,3.3232,0.2016,0.4781,-0.058,0.478,0.4,0.0,0.0,0.1333,0.3333,0.1333,0,5,10,0.924,0.5082,0.5925,10.2889,79,7
26,28000,20,231,211,2996,1766.2,2151.0,0.4499,0.8516,0.2736,14,0.6181,0.4778,0.6219,0.6664,0.7444,0.274,3.2037,0.27,0.4136,-0.0613,0.4328,0.35,0.0,0.0,0.05,0.35,0.25,6,1,6,0.9081,0.5068,0.5914,10.1124,9,3
26,28500,15,231,216,2651,1856.2,2651.0,0.5042,0.9035,0.2697,15,0.5042,0.1676,0.6309,0.7102,0.816,0.2289,2.5493,0.2272,0.3043,-0.1351,0.392,0.4,0.0,0.0,0.0,0.2667,0.3333,0,5,6,0.9066,0.5106,0.5956,10.0959,40,1
27,29000,19,245,226,1164,417.6,151.0,0.1241,0.3962,0.1247,5,0.3223,0.2612,0.2936,0.3958,0.3961,0.3063,3.5766,0.237,0.3274,0.1256,0.5841,0.3684,0.0,0.0,0.0526,0.3158,0.2632,14,10,13,0.9158,0.5056,0.5909,10.198,110,9
27,29500,19,245,226,1664,917.6,651.0,0.2895,0.5939,0.1282,19,0.2895,0.1672,0.2272,0.3577,0.4525,0.2981,3.3006,0.1792,0.3453,0.1113,0.5456,0.2632,0.0,0.0,0.1579,0.2632,0.3158,0,0,13,0.9158,0.5056,0.5909,10.198,0,0
27,30000,17,245,228,2164,1389.4,1151.0,0.4677,0.7201,0.1592,17,0.4677,0.2768,0.4753,0.6049,0.6699,0.2949,3.1019,0.1176,0.2935,0.103,0.5774,0.2941,0.0,0.0,0.1176,0.1765,0.4118,0,2,13,0.9121,0.5036,0.59,10.1564,7,7
27,30500,16,245,229,2664,1904.2,1651.0,0.5973,0.8201,0.1738,16,0.5973,0.3695,0.6377,0.7615,0.7934,0.2868,2.4772,0.0969,0.2528,0.0267,0.5832,0.3125,0.0,0.0,0.125,0.1875,0.375,0,1,13,0.9152,0.5065,0.5922,10.1918,5,6
28,31000,16,251,235,2151,1424.6,2151.0,0.4416,0.8868,0.3246,16,0.4416,0.0363,0.4871,0.6905,0.8646,0.3168,3.1556,0.2042,0.3592,0.0368,0.5815,0.375,0.0,0.0,0.0625,0.25,0.3125,6,6,4,0.9326,0.5103,0.597,10.3846,79,11
28,31500,15,251,236,2651,2005.3,2651.0,0.6122,0.9535,0.275,15,0.6122,0.2098,0.6976,0.8356,0.9522,0.286,2.7899,0.1727,0.335,0.0193,0.5229,0.3333,0.0,0.0,0.0,0.1333,0.5333,0,1,4,0.9314,0.5088,0.5955,10.3712,0,2
29,32000,20,266,246,1214,416.8,151.0,0.1531,0.6637,0.1933,5,0.452,0.2551,0.4751,0.6048,0.6402,0.3369,3.3037,-0.0096,0.4873,0.1988,0.5621,0.2,0.0,0.0,0.25,0.1,0.45,15,10,13,0.8573,0.5103,0.5986,9.5467,205,25
29,32500,18,266,248,1714,887.2,651.0,0.2818,0.7896,0.1922,18,0.2818,0.1292,0.2192,0.3155,0.5042,0.3267,2.9749,-0.025,0.4052,0.0541,0.602,0.3889,0.0,0.0,0.2222,0.0556,0.3333,0,2,13,0.8542,0.5119,0.6013,9.5114,11,10
29,33000,18,266,248,2214,1387.2,1151.0,0.4177,0.8677,0.1934,18,0.4177,0.2435,0.3588,0.5006,0.7055,0.3264,3.3921,-0.008,0.4005,-0.0195,0.5983,0.3889,0.0,0.0,0.1667,0.1111,0.3333,0,0,13,0.8542,0.5119,0.6013,9.5114,0,0
29,33500,18,266,248,2714,1887.2,1651.0,0.5464,0.9411,0.2027,18,0.5464,0.3332,0.503,0.705,0.8475,0.3176,3.4194,0.0134,0.3875,-0.0573,0.5819,0.4444,0.0,0.0,0.1667,0.1111,0.2778,0,0,13,0.8542,0.5119,0.6013,9.5114,0,0
30,34000,19,273,254,2151,1437.4,2151.0,0.4404,0.8868,0.2964,19,0.4404,0.0749,0.4786,0.6844,0.8493,0.2888,2.8603,0.019,0.2759,0.1474,0.5824,0.2632,0.0,0.0,0.1053,0.1053,0.5263,7,6,7,0.7961,0.5147,0.604,8.8645,85,7
30,34500,19,273,254,2651,1937.4,2651.0,0.5731,0.9535,0.2687,19,0.5731,0.2184,0.5518,0.826,0.9434,0.2803,3.0503,0.032,0.2669,0.097,0.5623,0.2632,0.0,0.0,0.1579,0.1053,0.4737,0,0,7,0.7961,0.5147,0.604,8.8645,0,0
31,35000,20,287,267,1214,469.9,151.0,0.1675,0.6729,0.1983,6,0.4434,0.2844,0.4275,0.5361,0.6182,0.2728,3.0464,0.0805,0.3159,0.1217,0.519,0.25,0.0,0.0,0.2,0.35,0.2,14,13,12,0.8273,0.5114,0.6011,9.2121,192,12
31,35500,20,287,267,1714,969.9,651.0,0.3095,0.814,0.2138,20,0.3095,0.1158,0.2382,0.3599,0.7059,0.3023,3.3037,0.0448,0.3289,0.056,0.5916,0.4,0.0,0.0,0.2,0.2,0.2,0,0,12,0.8273,0.5114,0.6011,9.2121,0,0
31,36000,18,287,269,2214,1446.3,1151.0,0.4439,0.8952,0.2228,18,0.4439,0.2344,0.3652,0.5457,0.8247,0.2934,2.7052,0.1096,0.2624,-0.0342,0.618,0.5,0.0,0.0,0.1111,0.2222,0.1667,0,2,12,0.8406,0.5094,0.5989,9.3605,4,4
31,36500,17,287,270,2714,1963.6,1651.0,0.5804,0.9619,0.2267,17,0.5804,0.3332,0.506,0.7201,0.9319,0.2899,2.7489,0.1261,0.2598,-0.0278,0.6037,0.4118,0.0,0.0,0.0,0.1765,0.4118,0,1,12,0.8446,0.51,0.5996,9.4047,8,4
32,37000,19,295,276,2151,1335.4,2151.0,0.3993,0.8868,0.311,19,0.3993,0.0422,0.4259,0.7004,0.8368,0.2943,3.2608,0.1473,0.2794,0.0279,0.5975,0.4211,0.0,0.0,0.0526,0.2632,0.2632,8,6,8,0.8391,0.5081,0.5996,9.3443,118,15
32,37500,18,295,277,2651,1790.1,2651.0,0.5212,0.9535,0.3099,18,0.5212,0.1779,0.4759,0.882,0.9376,0.2527,2.5249,0.118,0.2078,-0.031,0.5312,0.3333,0.0,0.0,0.0,0.1111,0.5556,0,1,8,0.8213,0.5102,0.6012,9.1459,3,0
33,38000,20,308,288,1214,523.0,151.0,0.176,0.686,0.1894,7,0.4047,0.254,0.3908,0.4646,0.5611,0.2629,2.971,0.1365,0.2169,0.1001,0.5478,0.3,0.0,0.0,0.0,0.2,0.5,13,11,13,0.8011,0.513,0.6041,8.921,173,19
33,38500,18,308,290,1714,1064.4,651.0,0.3601,0.7879,0.1945,18,0.3601,0.1567,0.2896,0.4746,0.644,0.2428,2.8219,0.1747,0.2144,0.0518,0.5018,0.2222,0.0,0.0,0.0,0.1667,0.6111,0,2,13,0.8311,0.5124,0.6028,9.2551,0,4
33,39000,17,308,291,2214,1588.7,1151.0,0.5143,0.8785,0.1762,17,0.5143,0.3244,0.5176,0.5979,0.7922,0.2321,2.8222,0.1939,0.2288,0.0803,0.47,0.1765,0.0,0.0,0.0,0.2353,0.5882,0,1,13,0.8161,0.513,0.6034,9.088,0,1
33,39500,16,308,292,2714,2116.1,1651.0,0.6622,0.9619,0.1819,16,0.6622,0.4523,0.6773,0.794,0.9051,0.2278,2.7806,0.1906,0.2403,0.0353,0.4555,0.25,0.0,0.0,0.0,0.1875,0.5625,0,1,13,0.7951,0.5165,0.6065,8.854,15,4
34,40000,19,319,300,2151,1131.5,214.0,0.3807,0.8868,0.3338,19,0.3807,0.0553,0.1876,0.7364,0.8586,0.266,3.0106,0.1974,0.3189,0.2187,0.4874,0.1579,0.0,0.0,0.0526,0.2632,0.5263,11,8,11,0.8044,0.5178,0.6074,8.9577,107,9
34,40500,18,319,301,2651,1682.5,1682.5,0.5288,0.9535,0.3245,18,0.5288,0.1895,0.397,0.9195,0.9535,0.2511,3.3502,0.1741,0.3265,0.2021,0.4387,0.1667,0.0,0.0,0.1111,0.3333,0.3889,0,1,11,0.7902,0.5194,0.6086,8.7989,0,2
35,41000,19,331,312,1214,542.6,151.0,0.1851,0.5877,0.1951,7,0.4278,0.3408,0.3663,0.5035,0.56,0.2619,3.2608,0.1957,0.2711,0.3028,0.5077,0.2632,0.0,0.0,0.0526,0.3684,0.3158,12,11,11,0.7915,0.5234,0.6139,8.8143,192,16
35,41500,19,331,312,1714,1042.6,651.0,0.3533,0.8133,0.1991,19,0.3533,0.1436,0.2683,0.4695,0.6357,0.2498,3.3264,0.1388,0.2736,0.3518,0.4707,0.1053,0.0,0.0,0.1579,0.3158,0.4211,0,0,11,0.7915,0.5234,0.6139,8.8143,0,0
35,42000,18,331,313,2214,1505.3,1151.0,0.4909,0.8952,0.1887,18,0.4909,0.3082,0.4379,0.5967,0.7527,0.2623,3.5033,0.0981,0.2711,0.2908,0.4966,0.1111,0.0,0.0,0.2222,0.3333,0.3333,0,1,11,0.772,0.5261,0.6164,8.5961,6,7
35,42500,17,331,314,2714,2026.2,1651.0,0.6485,0.9619,0.1777,17,0.6485,0.4317,0.6404,0.7634,0.8869,0.2523,3.3816,0.1274,0.2655,0.2913,0.4716,0.1176,0.0,0.0,0.1176,0.3529,0.4118,0,1,11,0.7863,0.5266,0.6167,8.7553,1,2
36,43000,20,340,320,2151,1279.3,2151.0,0.4164,0.8868,0.314,20,0.4164,0.0564,0.5144,0.7079,0.799,0.2151,2.766,0.0766,0.1978,0.2767,0.4318,0.1,0.0,0.0,0.05,0.15,0.7,9,6,8,0.7842,0.5299,0.619,8.7326,113,15
36,43500,19,340,321,2651,1835.4,2651.0,0.5724,0.9535,0.3078,19,0.5724,0.2039,0.6785,0.9249,0.9535,0.2072,2.6948,0.1107,0.2144,0.2702,0.3967,0.0526,0.0,0.0,0.0,0.2632,0.6842,0,1,8,0.8007,0.5283,0.6174,8.9158,0,1
37,44000,20,352,332,1214,576.2,151.0,0.1883,0.5605,0.1762,8,0.3902,0.3026,0.3604,0.4464,0.5196,0.2495,2.9037,0.0883,0.3306,0.472,0.4497,0.1,0.0,0.0,0.2,0.2,0.5,12,11,9,0.7781,0.5253,0.6147,8.6645,194,16
37,44500,19,352,333,1714,1098.6,651.0,0.356,0.718,0.1733,19,0.356,0.1571,0.3306,0.4478,0.6074,0.2216,2.8,0.0601,0.2873,0.4418,0.4043,0.0526,0.0,0.0,0.1053,0.2105,0.6316,0,1,9,0.7567,0.5277,0.6162,8.4259,0,2
