generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_std,mature_agent_count,mature_average_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
1,500,29,30,1,500,500.0,500.0,0.1156,0.2176,0.0448,29,0.1156,0.0691,0.1149,0.1311,0.1877,0.372,3.7849,0.0566,0.528,-0.1205,0.6175,0.4483,0.0,0.0,0.2069,0.2414,0.1034,0,1,0,0.9694,0.4823,0.5602,10.7949,0,3
1,1000,24,30,6,1000,1000.0,1000.0,0.22,0.3606,0.0718,24,0.22,0.1373,0.2055,0.2708,0.3286,0.3805,3.8035,0.0564,0.5639,-0.1571,0.5929,0.4583,0.0,0.0,0.2083,0.25,0.0833,0,5,0,0.9687,0.4835,0.5601,10.7872,3,12
1,1500,19,30,11,1500,1500.0,1500.0,0.3338,0.4975,0.0891,19,0.3338,0.2085,0.3163,0.4194,0.4327,0.3587,3.6819,0.0893,0.5097,-0.1539,0.5731,0.4211,0.0,0.0,0.2632,0.2632,0.0526,0,5,0,0.9689,0.481,0.5584,10.7894,3,6
2,2000,19,36,17,2000,1457.5,2000.0,0.3458,0.6073,0.2051,19,0.3458,0.0523,0.4074,0.5205,0.5541,0.3304,3.3264,0.0966,0.4151,0.1182,0.5883,0.2632,0.0,0.0,0.2105,0.3158,0.2105,6,6,3,0.9595,0.4841,0.5628,10.6846,6,4
2,2500,15,36,21,2500,1927.3,2500.0,0.4756,0.7583,0.2223,15,0.4756,0.1592,0.5833,0.6435,0.6983,0.3102,3.1899,0.1351,0.4182,0.1878,0.5195,0.2,0.0,0.0,0.2667,0.3333,0.2,0,4,3,0.9621,0.4847,0.5636,10.714,5,3
4,3000,20,53,33,1282,340.8,0.0,0.0766,0.3182,0.1034,9,0.1702,0.0852,0.1163,0.247,0.2958,0.1641,1.871,0.011,0.3821,0.1108,0.1911,0.0,0.0,0.0,0.25,0.15,0.6,17,12,7,0.9507,0.4885,0.571,10.5868,110,25
4,3500,18,53,35,1782,807.4,500.0,0.1933,0.4386,0.1012,18,0.1933,0.0728,0.1731,0.218,0.3393,0.3549,3.5033,0.1295,0.5309,0.1666,0.5495,0.2222,0.0,0.0,0.3333,0.2778,0.1667,0,2,7,0.9603,0.4884,0.5707,10.693,2,4
5,4000,20,59,39,2282,925.0,1000.0,0.2565,0.5715,0.1531,20,0.2565,0.0939,0.2137,0.3208,0.5044,0.3339,3.7464,0.0957,0.4708,0.2027,0.5403,0.25,0.0,0.0,0.25,0.3,0.2,6,4,5,0.9674,0.4925,0.5742,10.7723,2,1
5,4500,16,59,43,2782,1344.4,1500.0,0.3868,0.7646,0.1899,16,0.3868,0.2002,0.3028,0.5715,0.646,0.2996,3.0306,0.105,0.3259,0.1824,0.562,0.25,0.0,0.0,0.1875,0.3125,0.25,0,4,5,0.9671,0.4899,0.5719,10.7687,8,8
6,5000,20,65,45,2495,1256.8,1289.0,0.3455,0.8667,0.2526,14,0.4738,0.3016,0.3868,0.6479,0.724,0.2763,3.4087,0.0655,0.272,0.1493,0.5436,0.3,0.0,0.0,0.15,0.25,0.3,6,2,5,0.9575,0.4911,0.5734,10.6628,9,5
6,5500,18,65,47,2995,1713.7,1789.0,0.4765,0.9333,0.2669,18,0.4765,0.1364,0.4434,0.7131,0.8458,0.2737,3.5033,0.1332,0.2878,0.1151,0.5218,0.3333,0.0,0.0,0.0556,0.3333,0.2778,0,2,5,0.964,0.4915,0.5736,10.7344,2,0
7,6000,20,75,55,2289,860.0,575.5,0.2087,0.605,0.2326,10,0.4174,0.2158,0.4628,0.5427,0.5764,0.1738,2.0815,0.0814,0.2011,-0.0833,0.3821,0.25,0.0,0.0,0.0,0.15,0.6,10,8,8,0.949,0.4942,0.5761,10.5672,115,12
7,6500,18,75,57,2789,1391.6,1075.5,0.3627,0.807,0.2659,18,0.3627,0.0896,0.2414,0.6094,0.7218,0.267,3.2391,0.2571,0.3069,0.0436,0.494,0.3333,0.0,0.0,0.0,0.3889,0.2778,0,2,8,0.9495,0.4971,0.578,10.5727,1,4
8,7000,18,82,64,2151,979.3,1000.0,0.2734,0.8219,0.2165,18,0.2734,0.0778,0.1982,0.3668,0.6083,0.2678,3.128,0.2401,0.3462,0.1609,0.4665,0.2222,0.0,0.0,0.1111,0.4444,0.2222,7,7,6,0.9632,0.4942,0.5773,10.7261,51,5
8,7500,16,82,66,2651,1521.1,1500.0,0.4228,0.891,0.2239,16,0.4228,0.1896,0.4029,0.5063,0.7847,0.2625,3.0306,0.2654,0.3337,0.1135,0.4603,0.25,0.0,0.0,0.125,0.5,0.125,0,2,6,0.9529,0.4921,0.5751,10.6109,1,4
9,8000,20,90,70,2000,1047.1,1289.0,0.2716,0.5821,0.2036,12,0.423,0.2987,0.4147,0.5167,0.5542,0.2662,3.3842,0.2993,0.3621,0.1729,0.4504,0.15,0.0,0.0,0.15,0.55,0.15,8,4,7,0.9527,0.4946,0.5762,10.6089,65,1
9,8500,19,90,71,2500,1594.3,1789.0,0.4103,0.7952,0.2011,19,0.4103,0.155,0.4135,0.5733,0.6583,0.2732,3.3264,0.2952,0.3732,0.1276,0.4563,0.2105,0.0,0.0,0.1579,0.5789,0.0526,0,1,7,0.9439,0.4936,0.575,10.5113,0,2
10,9000,20,97,77,2289,1089.5,1151.0,0.2997,0.8808,0.2666,13,0.4611,0.2629,0.4459,0.5802,0.6538,0.2155,2.7955,0.2321,0.2781,0.0352,0.4029,0.2,0.0,0.0,0.0,0.3,0.5,7,6,7,0.9188,0.4927,0.5748,10.2315,49,6
10,9500,19,97,78,2789,1526.4,1651.0,0.4093,0.9536,0.2497,19,0.4093,0.1235,0.3812,0.5889,0.7206,0.2945,3.4058,0.1299,0.3648,0.0716,0.5242,0.3158,0.0,0.0,0.1053,0.3158,0.2632,0,1,7,0.9136,0.4943,0.5757,10.1731,8,4
11,10000,20,104,84,2151,1154.0,1000.0,0.3206,0.8868,0.2357,20,0.3206,0.0549,0.3333,0.4642,0.5859,0.3307,3.5464,-0.016,0.3692,0.0069,0.6201,0.45,0.0,0.0,0.2,0.2,0.15,7,6,6,0.9073,0.4954,0.578,10.1037,61,7
11,10500,18,104,86,2651,1671.1,1500.0,0.4488,0.9535,0.228,18,0.4488,0.1721,0.4773,0.5935,0.7025,0.3012,3.2391,0.0922,0.2341,-0.0649,0.6316,0.4444,0.0,0.0,0.1111,0.2222,0.2222,0,2,6,0.8999,0.4931,0.5759,10.0209,10,8
12,11000,19,114,95,2000,802.3,151.0,0.2474,0.748,0.2376,9,0.4681,0.2675,0.4843,0.5433,0.6658,0.2883,3.4058,0.1587,0.2981,0.0101,0.5557,0.3158,0.0,0.0,0.0526,0.3158,0.3158,10,9,9,0.9092,0.4949,0.5779,10.1239,107,9
12,11500,18,114,96,2500,1338.5,1220.0,0.3927,0.8487,0.2495,18,0.3927,0.1327,0.2904,0.5948,0.7582,0.292,3.086,0.2293,0.2911,-0.0224,0.574,0.3889,0.0,0.0,0.0556,0.4444,0.1111,0,1,9,0.9013,0.4943,0.5775,10.0362,1,4
13,12000,20,121,101,2289,1032.7,1151.0,0.2785,0.8304,0.2516,13,0.4284,0.2633,0.3835,0.4987,0.6902,0.2377,2.8639,0.1792,0.2823,-0.0004,0.4615,0.2,0.0,0.0,0.05,0.35,0.4,7,5,6,0.882,0.4988,0.5816,9.821,62,8
13,12500,19,121,102,2789,1526.4,1651.0,0.3858,0.9111,0.2506,19,0.3858,0.0879,0.3733,0.5205,0.7719,0.2929,3.1556,0.4219,0.3089,-0.0341,0.5779,0.3684,0.0,0.0,0.0,0.5789,0.0526,0,1,6,0.8661,0.4968,0.5799,9.6442,2,2
