generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
1,500,29,30,1,500,500.0,500.0,0.1256,0.2697,0.0746,0.1239,0.1303,0.2185,0.0509,0.3059,3.6764,0.0168,0.4235,-0.048,0.5217,0.4138,0.0,0.0,0.1724,0.1724,0.2414,0,1,0,0.9803,0.4871,0.5647,10.9165,0,3
1,1000,23,30,7,1000,1000.0,1000.0,0.24,0.5182,0.1518,0.2258,0.2468,0.3949,0.0983,0.2603,3.1323,0.1014,0.3892,-0.2181,0.4373,0.5652,0.0,0.0,0.0435,0.1739,0.2174,0,6,0,0.9783,0.4862,0.5633,10.8934,4,14
1,1500,17,30,13,1500,1500.0,1500.0,0.3795,0.7433,0.2774,0.3313,0.381,0.5603,0.1349,0.2663,3.0575,0.0451,0.3849,-0.1865,0.465,0.5294,0.0,0.0,0.0588,0.2353,0.1765,0,6,0,0.9761,0.4832,0.5613,10.8697,8,12
2,2000,18,36,18,2000,1424.7,2000.0,0.3868,0.8667,0.0773,0.4102,0.4939,0.683,0.2465,0.3021,2.8855,0.1903,0.4036,0.0743,0.5291,0.3889,0.0,0.0,0.0,0.3889,0.2222,6,5,3,0.9495,0.4882,0.5664,10.5734,10,9
2,2500,18,36,18,2500,1924.7,2500.0,0.5064,0.9333,0.1889,0.5202,0.5921,0.8633,0.2372,0.2842,2.8855,0.1739,0.3746,0.0439,0.5024,0.4444,0.0,0.0,0.0,0.4444,0.1111,0,0,3,0.9495,0.4882,0.5664,10.5734,0,0
3,3000,20,51,31,1274,318.5,0.0,0.0866,0.4055,0.0,0.0,0.0711,0.3749,0.152,0.0962,1.0219,0.1015,0.2431,0.0972,0.2128,0.0,0.0,0.0,0.0,0.2,0.8,15,13,8,0.9424,0.4953,0.576,10.4943,183,17
3,3500,19,51,32,1774,768.2,500.0,0.2138,0.4615,0.0866,0.1398,0.3561,0.4131,0.1336,0.3016,3.6163,0.1546,0.4479,0.0792,0.4684,0.2632,0.0,0.0,0.1579,0.3158,0.2632,0,1,8,0.9457,0.495,0.5759,10.5305,7,9
4,4000,20,57,37,2274,770.9,1000.0,0.2299,0.6951,0.0039,0.2145,0.3299,0.5084,0.1943,0.3225,3.6842,0.1493,0.4293,-0.0233,0.5399,0.35,0.0,0.0,0.15,0.3,0.2,6,5,6,0.9243,0.4964,0.5767,10.2928,14,16
4,4500,18,57,39,1500,1174.7,1500.0,0.3561,0.7922,0.1187,0.3702,0.445,0.5969,0.1877,0.3214,2.9058,0.0463,0.4025,-0.0843,0.5638,0.3333,0.0,0.0,0.1111,0.1667,0.3889,0,2,6,0.9237,0.4952,0.5763,10.2856,7,8
4,5000,18,57,39,2000,1674.7,2000.0,0.4922,0.8667,0.2079,0.5042,0.6149,0.7653,0.2125,0.3282,2.9749,0.062,0.4106,-0.0908,0.5749,0.3889,0.0,0.0,0.1111,0.1667,0.3333,0,0,6,0.9237,0.4952,0.5763,10.2856,0,0
4,5500,18,57,39,2500,2174.7,2500.0,0.6022,0.9333,0.2861,0.6367,0.7838,0.9333,0.2331,0.3286,2.8219,0.0813,0.4128,-0.091,0.5761,0.3889,0.0,0.0,0.1111,0.1667,0.3333,0,0,6,0.9237,0.4952,0.5763,10.2856,0,0
5,6000,20,72,52,2024,506.0,0.0,0.1337,0.8699,0.0,0.0,0.0905,0.4423,0.2508,0.1135,1.3918,-0.0083,0.2152,-0.0405,0.2824,0.1,0.0,0.0,0.0,0.05,0.85,15,13,9,0.9012,0.5001,0.5828,10.035,199,12
5,6500,19,72,53,2524,1032.6,500.0,0.2745,0.9365,0.0848,0.1756,0.3652,0.5905,0.238,0.2891,3.5766,-0.0762,0.3816,0.0784,0.4995,0.2105,0.0,0.0,0.2632,0.1579,0.3684,0,1,9,0.8984,0.501,0.5835,10.0037,0,3
