generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
1,1572,16,0.1604,0.2995,0.0274,900.4,1572,0.94,846.0,2.69,0.2711,0.4805,0.5598,0.0331,0.15,0.3,0
2,2816,22,0.193,0.4037,0.0274,1065.8,2118,0.95,1420.8,2.14,0.2878,0.4818,0.5606,0.0393,0.15,0.3,0
3,3000,33,0.3692,1.0,0.0274,1662.0,3000,4.27,2883.8,1.61,0.3013,0.4841,0.5634,0.0369,0.15,0.3,0
4,4066,39,0.3358,1.0,0.0274,1540.2,3000,3.67,2651.3,1.59,0.2969,0.4843,0.5646,0.0403,0.15,0.3,0
5,5397,45,0.3408,1.0,0.0274,1612.8,3000,3.4,2682.1,1.4,0.2984,0.4848,0.5651,0.0439,0.15,0.3,0
6,6000,55,0.3973,1.0,0.0274,1790.7,3000,4.4,3167.6,1.76,0.2903,0.4875,0.5684,0.0584,0.15,0.3,0
7,7066,63,0.4114,1.0,0.0274,1818.0,3000,4.87,3413.4,1.78,0.3026,0.4888,0.5699,0.0437,0.15,0.3,0
8,8397,71,0.4128,1.0,0.0274,1836.4,3000,4.77,3366.7,1.65,0.3101,0.4894,0.5707,0.0771,0.15,0.3,0
9,9000,78,0.4372,1.0,0.0274,1921.4,3000,5.18,3533.3,1.69,0.2954,0.4906,0.5727,0.0612,0.15,0.3,0
10,10066,85,0.453,1.0,0.0274,1964.8,3000,5.52,3635.6,1.72,0.3098,0.4912,0.5735,0.0631,0.15,0.3,0
11,11397,95,0.4726,1.0,0.0274,2023.0,3000,5.91,3761.2,1.91,0.2927,0.491,0.5735,0.0648,0.15,0.3,0
12,12000,102,0.4786,1.0,0.0274,2042.3,3000,5.97,3816.5,1.94,0.2938,0.4909,0.5737,0.0447,0.15,0.3,0
13,13066,108,0.487,1.0,0.0274,2063.2,3000,6.31,3860.9,1.9,0.2988,0.4919,0.575,0.044,0.15,0.3,0
14,14397,116,0.5086,1.0,0.0274,2103.4,3000,6.91,4011.5,1.97,0.2985,0.4936,0.5771,0.0489,0.15,0.3,0
15,15000,123,0.5222,1.0,0.0274,2139.4,3000,7.2,4155.0,2.01,0.3044,0.4938,0.5775,0.0662,0.15,0.3,0
16,16027,129,0.5134,1.0,0.0274,2114.3,3000,6.96,4130.8,1.99,0.2811,0.4941,0.5781,0.0549,0.15,0.3,0
17,17397,139,0.5256,1.0,0.0274,2143.0,3000,7.45,4218.7,2.02,0.2766,0.4948,0.5791,0.081,0.15,0.3,0
18,18000,145,0.5288,1.0,0.0274,2153.6,3000,7.5,4251.6,2.03,0.2931,0.4954,0.5799,0.046,0.15,0.3,0
19,19027,154,0.5311,1.0,0.0274,2152.0,3000,7.71,4254.0,2.01,0.2804,0.4958,0.5806,0.0653,0.15,0.3,0
20,20397,163,0.5371,1.0,0.0274,2181.1,3000,7.72,4321.5,1.98,0.3062,0.496,0.5808,0.0669,0.15,0.3,0
21,22027,176,0.5502,1.0,0.0274,2216.3,3000,8.05,4457.0,2.0,0.2864,0.4968,0.5821,0.06,0.15,0.3,0
22,23283,3,0.1873,0.2137,0.1462,1025.0,1256,0.67,1697.3,1.67,0.2779,0.4966,0.5858,0.0097,0.15,0.3,0
23,24363,188,0.5449,1.0,0.0274,2197.0,3000,7.94,4436.3,2.06,0.2812,0.497,0.5824,0.0702,0.15,0.3,0
24,25027,200,0.5525,1.0,0.0274,2221.1,3000,8.18,4536.7,2.04,0.2833,0.4975,0.5832,0.0855,0.15,0.3,0
25,26449,156,0.6776,1.0,0.0782,2634.3,3000,10.64,5542.7,2.17,0.2984,0.5001,0.5864,0.1077,0.15,0.3,0
26,27402,162,0.6794,1.0,0.0782,2638.6,3000,10.73,5540.1,2.11,0.2622,0.5006,0.5872,0.0673,0.15,0.3,0
27,28027,172,0.677,1.0,0.0526,2628.7,3000,10.76,5530.3,2.15,0.2713,0.5016,0.5885,0.0628,0.15,0.3,0
28,29449,181,0.6776,1.0,0.0526,2617.1,3000,10.88,5487.4,2.18,0.2788,0.503,0.5903,0.0661,0.15,0.3,0
29,31027,192,0.681,1.0,0.0526,2625.4,3000,11.24,5495.9,2.19,0.2622,0.5032,0.5906,0.0341,0.15,0.3,0
30,32449,151,0.7981,1.0,0.5019,2945.8,3000,14.38,6246.7,2.3,0.2851,0.5051,0.5933,0.1139,0.15,0.3,0
31,34027,164,0.7881,1.0,0.0549,2908.7,3000,14.23,6085.9,2.27,0.2407,0.5063,0.595,0.0694,0.15,0.3,0
32,35449,3,0.2242,0.339,0.1356,996.0,1297,2.0,2069.5,2.67,0.4148,0.5143,0.6056,0.0,0.15,0.3,0
33,37027,186,0.7748,1.0,0.0549,2841.4,3000,14.24,5913.2,2.41,0.254,0.5072,0.5965,0.061,0.15,0.3,0
34,38449,4,0.1976,0.3158,0.1082,878.2,1195,2.0,1525.5,3.0,0.3252,0.5172,0.6149,0.0,0.15,0.3,0
35,40027,158,0.8554,1.0,0.65,2994.3,3000,16.92,6520.0,2.39,0.2605,0.5099,0.5999,0.0871,0.15,0.3,0
36,41449,170,0.8437,1.0,0.0797,2966.2,3000,16.48,6417.3,2.42,0.2788,0.5107,0.601,0.1855,0.15,0.3,0
37,43027,179,0.8363,1.0,0.0797,2944.2,3000,16.43,6381.1,2.37,0.2419,0.511,0.6014,0.1229,0.15,0.3,0
38,44449,191,0.8339,1.0,0.0797,2933.5,3000,16.27,6407.4,2.37,0.2441,0.5112,0.6017,0.1171,0.15,0.3,0
39,46027,152,0.8945,1.0,0.7,2985.3,3000,18.97,6610.5,2.61,0.2463,0.5118,0.6029,0.2367,0.15,0.3,0
40,47449,5,0.1779,0.3125,0.0728,790.0,1421,1.0,2379.6,2.6,0.266,0.5209,0.6114,0.0784,0.15,0.3,0
41,49027,173,0.8704,1.0,0.0728,2914.3,3000,18.47,6438.3,2.59,0.2527,0.5132,0.6043,0.128,0.15,0.3,0
42,50449,187,0.8579,1.0,0.0728,2893.1,3000,18.19,6364.9,2.65,0.2319,0.5127,0.6038,0.1288,0.15,0.3,0
43,52027,3,0.3393,0.621,0.1966,1264.3,1486,4.67,2704.3,1.33,0.307,0.5111,0.6103,0.218,0.15,0.3,0
44,53449,159,0.9226,1.0,0.7759,2984.1,3000,20.93,6619.0,3.09,0.2078,0.5147,0.6065,0.1691,0.15,0.3,0
45,54471,3,0.1737,0.2448,0.0737,574.3,792,2.67,1523.4,3.67,0.1822,0.5007,0.602,0.0129,0.15,0.3,0
46,56449,179,0.8973,1.0,0.0737,2925.7,3000,20.1,6465.3,3.05,0.2258,0.5144,0.6065,0.1647,0.15,0.3,0
47,57471,185,0.899,1.0,0.0737,2928.1,3000,20.11,6457.9,3.01,0.2169,0.5149,0.6072,0.2165,0.15,0.3,0
48,58936,191,0.8853,1.0,0.0737,2902.6,3000,19.62,6396.3,3.02,0.2266,0.5151,0.6074,0.1171,0.15,0.3,0
49,59449,200,0.8832,1.0,0.0737,2899.6,3000,19.5,6424.7,3.0,0.2418,0.5156,0.6081,0.1814,0.15,0.3,0
50,60475,156,0.946,1.0,0.3163,2978.0,3000,22.58,6770.0,3.19,0.2071,0.5173,0.6089,0.1732,0.15,0.3,0
51,61584,162,0.922,1.0,0.0899,2915.5,3000,21.83,6648.8,3.18,0.2089,0.5179,0.6095,0.1947,0.15,0.3,0
52,62449,173,0.915,1.0,0.0899,2912.8,3000,21.51,6636.9,3.14,0.2203,0.5183,0.6102,0.2476,0.15,0.3,0
53,63475,3,0.1113,0.1762,0.0729,593.3,922,0.0,1609.7,1.67,0.1758,0.5079,0.5954,0.26,0.15,0.3,0
54,64584,187,0.8942,1.0,0.0729,2854.8,3000,20.87,6516.2,3.13,0.2078,0.5187,0.6108,0.1588,0.15,0.3,0
55,65422,193,0.8749,1.0,0.0317,2808.7,3000,20.27,6382.8,3.11,0.1961,0.5183,0.6107,0.246,0.15,0.3,0
56,66475,152,0.9672,1.0,0.7764,2989.5,3000,24.01,6852.1,3.5,0.1914,0.5199,0.6117,0.2258,0.15,0.3,0
57,67584,3,0.2068,0.2934,0.1603,830.3,1102,2.0,2304.4,3.67,0.211,0.5256,0.6197,0.1365,0.15,0.3,0
58,68422,169,0.936,1.0,0.0735,2913.7,3000,23.04,6708.2,3.39,0.1953,0.52,0.612,0.2718,0.15,0.3,0
