generation,frame,alive_population,total_agents_ever_born,total_agents_dead,current_oldest_alive_age,average_alive_age,median_alive_age,average_alive_fitness,best_alive_fitness,fitness_10th_percentile,fitness_50th_percentile,fitness_75th_percentile,fitness_90th_percentile,fitness_std,behavioral_diversity_score,action_entropy,mean_turn_output,std_turn_output,mean_speed_output,std_speed_output,pct_stationary,pct_straight_runner,pct_erratic,pct_left_turner,pct_right_turner,pct_balanced_explorer,births,deaths,unique_parent_count,genome_diversity_score,mean_weight_magnitude,weight_std,mean_pairwise_weight_distance,food_consumed,spike_collisions
8,10500,20,99,79,2943,1471.7,1500.0,0.3642,0.7424,0.0395,0.3661,0.592,0.6574,0.2409,0.2833,3.4464,0.0661,0.3473,0.2847,0.5212,0.15,0.0,0.0,0.15,0.3,0.4,6,3,5,0.9031,0.4983,0.5862,10.056,2,4
9,11000,16,105,89,2000,1090.0,703.0,0.3195,0.8667,0.1254,0.2003,0.4542,0.6213,0.2221,0.2378,3.0778,0.1663,0.4514,0.5333,0.2577,0.0,0.0,0.0,0.125,0.375,0.5,6,10,5,0.8921,0.4989,0.5886,9.9341,53,18
9,11500,16,105,89,2500,1590.0,1203.0,0.4373,0.9333,0.2347,0.3494,0.5458,0.7583,0.217,0.2353,2.8522,0.1711,0.4587,0.5403,0.2371,0.0,0.0,0.0,0.1875,0.375,0.4375,0,0,5,0.8921,0.4989,0.5886,9.9341,0,0
11,12000,20,118,98,1703,626.0,312.0,0.1968,0.6777,0.0,0.0989,0.4406,0.4952,0.2189,0.2365,2.6842,0.1015,0.4012,0.38,0.366,0.0,0.0,0.0,0.15,0.3,0.55,13,9,5,0.9179,0.4984,0.587,10.2208,89,11
11,12500,18,118,100,2203,1101.3,812.0,0.3167,0.7513,0.0829,0.2025,0.5412,0.6585,0.2262,0.3182,3.5724,0.2928,0.4741,0.3896,0.5133,0.1667,0.0,0.0,0.1667,0.5,0.1667,0,2,5,0.9044,0.4986,0.5877,10.0705,9,9
11,13000,16,118,102,2703,1657.0,1312.0,0.444,0.8534,0.1883,0.35,0.6479,0.768,0.2299,0.3368,3.5,0.2824,0.4791,0.359,0.5544,0.1875,0.0,0.0,0.1875,0.5,0.125,0,2,5,0.9175,0.4983,0.5874,10.2166,1,4
12,13500,15,124,109,2885,1370.2,1500.0,0.3317,0.8097,0.0578,0.32,0.4867,0.6024,0.2333,0.3546,3.3736,0.1837,0.4736,0.2931,0.6034,0.2,0.0,0.0,0.2,0.4667,0.1333,6,7,6,0.9144,0.5047,0.5947,10.1823,51,13
13,14000,16,130,114,2312,1195.9,807.0,0.2914,0.6083,0.1166,0.1813,0.4506,0.5792,0.1873,0.3209,3.4528,0.2138,0.4797,0.2757,0.4955,0.125,0.0,0.0,0.1875,0.5,0.1875,6,5,4,0.8984,0.5013,0.5929,10.004,23,3
13,14500,15,130,115,2812,1642.3,1307.0,0.4192,0.8749,0.2109,0.3561,0.593,0.6883,0.2063,0.3067,3.3736,0.1611,0.4298,0.2927,0.4949,0.1333,0.0,0.0,0.2,0.4667,0.2,0,1,4,0.8848,0.5002,0.5924,9.8523,2,0
14,15000,15,136,121,1807,1170.2,1495.0,0.3247,0.5398,0.1183,0.2975,0.4533,0.5158,0.1505,0.2906,3.1069,0.0903,0.4379,0.354,0.451,0.0667,0.0,0.0,0.3333,0.3333,0.2667,6,6,5,0.9038,0.505,0.594,10.0637,54,6
15,15500,19,142,123,2307,1244.1,975.0,0.3738,0.6883,0.1001,0.3383,0.5993,0.6484,0.22,0.2376,3.0761,0.227,0.4224,0.4479,0.3007,0.0,0.0,0.0,0.1579,0.4211,0.4211,6,2,6,0.9117,0.5015,0.5919,10.152,1,1
15,16000,18,142,124,2807,1702.3,1475.0,0.506,0.9077,0.2317,0.4948,0.7055,0.8045,0.2289,0.2444,2.933,0.2366,0.4253,0.4629,0.309,0.0,0.0,0.0,0.2222,0.5,0.2778,0,1,6,0.915,0.5019,0.5918,10.189,6,4
16,16500,20,148,128,2995,1386.4,1311.0,0.4175,0.9743,0.0328,0.3892,0.5911,0.8719,0.3082,0.2438,2.7332,0.2482,0.435,0.5572,0.3043,0.0,0.0,0.0,0.2,0.55,0.25,6,4,6,0.9017,0.5025,0.5945,10.0415,37,15
16,17000,16,148,132,2475,1589.5,1811.0,0.4496,0.93,0.1438,0.4993,0.6112,0.7607,0.2537,0.2418,2.8585,0.2273,0.4019,0.497,0.3385,0.0,0.0,0.0,0.1875,0.5,0.3125,0,4,6,0.9063,0.5048,0.597,10.0921,50,7
16,17500,16,148,132,2975,2089.5,2311.0,0.555,0.9967,0.2632,0.6024,0.7046,0.8274,0.232,0.2469,2.8994,0.2156,0.4097,0.4925,0.36,0.0625,0.0,0.0,0.125,0.4375,0.375,0,0,6,0.9063,0.5048,0.597,10.0921,0,0
17,18000,19,157,138,2811,1403.4,1667.0,0.3976,0.9748,0.1077,0.3291,0.5985,0.7848,0.2851,0.3105,3.3264,0.0309,0.5187,0.4431,0.4675,0.1053,0.0,0.0,0.3684,0.3158,0.2105,9,6,7,0.8928,0.5059,0.5984,9.9422,95,6
18,18500,19,164,145,2167,1044.1,975.0,0.2933,0.6889,0.0851,0.2832,0.373,0.5639,0.1854,0.2749,3.1814,0.0077,0.4798,0.4932,0.3698,0.0526,0.0,0.0,0.4211,0.4211,0.1053,7,7,7,0.8634,0.5093,0.6012,9.614,104,16
18,19000,17,164,147,2667,1552.2,1475.0,0.4299,0.7556,0.2539,0.3665,0.5278,0.6856,0.1665,0.2886,3.2195,0.0291,0.4751,0.4659,0.4123,0.0588,0.0,0.0,0.4118,0.4118,0.1176,0,2,7,0.8683,0.5068,0.5983,9.6694,11,12
19,19500,20,172,152,1975,1019.4,1311.0,0.3094,0.6383,0.0503,0.3452,0.4761,0.5859,0.2054,0.3166,3.2842,0.04,0.5177,0.4669,0.4676,0.05,0.0,0.0,0.45,0.45,0.05,8,5,7,0.8606,0.5079,0.5975,9.5833,43,6
19,20000,18,172,154,2475,1513.7,1811.0,0.4415,0.8415,0.1537,0.465,0.5516,0.7525,0.2145,0.2902,3.4613,0.1156,0.4485,0.3681,0.4552,0.0556,0.0,0.0,0.2778,0.5,0.1667,0,2,7,0.8898,0.5085,0.5994,9.9081,6,3
19,20500,16,172,156,2975,2006.5,2311.0,0.5452,0.9081,0.262,0.5862,0.6516,0.7524,0.1989,0.2923,3.4528,0.1251,0.4434,0.355,0.4599,0.0625,0.0,0.0,0.25,0.5,0.1875,0,2,7,0.876,0.5075,0.5992,9.7551,17,10
20,21000,20,179,159,2811,1650.2,1667.0,0.4443,0.9748,0.1321,0.4169,0.6804,0.7548,0.2723,0.2589,3.4464,0.2125,0.3679,0.3519,0.4347,0.05,0.0,0.0,0.1,0.45,0.4,7,3,7,0.8639,0.5039,0.5969,9.6202,25,3
21,21500,20,186,166,2167,1100.2,975.0,0.312,0.8139,0.0922,0.2588,0.4431,0.5814,0.2193,0.2788,3.4219,0.1029,0.3847,0.3123,0.4732,0.1,0.0,0.0,0.2,0.3,0.4,7,7,6,0.8529,0.5045,0.5973,9.4975,95,4
21,22000,19,186,167,2667,1544.1,1475.0,0.4316,0.9556,0.2182,0.3911,0.5534,0.6716,0.2017,0.2721,3.3264,0.1445,0.3723,0.3361,0.4703,0.1053,0.0,0.0,0.1053,0.3684,0.4211,0,1,6,0.8666,0.5048,0.5979,9.6504,14,6
22,22500,20,192,172,1975,1200.2,1311.0,0.3409,0.8633,0.0331,0.3675,0.4935,0.5835,0.2336,0.292,3.4842,0.1115,0.484,0.4466,0.4015,0.05,0.0,0.0,0.3,0.4,0.25,6,5,6,0.8462,0.5036,0.5974,9.4229,49,2
22,23000,19,192,173,2475,1659.4,1811.0,0.4589,0.93,0.1329,0.5165,0.5857,0.71,0.2318,0.2811,3.2866,0.0905,0.4731,0.4822,0.3891,0.0526,0.0,0.0,0.3158,0.3684,0.2632,0,1,6,0.8584,0.5033,0.5966,9.5585,2,0
22,23500,18,192,174,2975,2214.6,2311.0,0.5875,0.9967,0.2494,0.6206,0.6792,0.8392,0.2149,0.2641,3.3083,0.05,0.4377,0.4548,0.3686,0.0556,0.0,0.0,0.3333,0.3333,0.2778,0,1,6,0.856,0.5034,0.5968,9.5318,0,0
23,24000,19,200,181,2811,1526.4,1667.0,0.42,0.7748,0.1414,0.3723,0.6748,0.7529,0.2444,0.2856,3.2608,0.0795,0.4518,0.5085,0.4255,0.0526,0.0,0.0,0.3158,0.3684,0.2632,8,7,7,0.898,0.5017,0.5936,9.9994,99,18
24,24500,17,207,190,2167,982.1,975.0,0.3029,0.7889,0.0729,0.2692,0.4858,0.5698,0.224,0.2975,3.3816,0.169,0.4471,0.4586,0.4592,0.1176,0.0,0.0,0.1765,0.4706,0.2353,7,9,7,0.9237,0.4943,0.5884,10.2856,70,18
24,25000,17,207,190,2667,1482.1,1475.0,0.4246,0.8806,0.1705,0.3912,0.607,0.7048,0.2313,0.3002,3.2639,0.2141,0.4394,0.4465,0.4848,0.1176,0.0,0.0,0.1765,0.4706,0.2353,0,0,7,0.9237,0.4943,0.5884,10.2856,0,0
25,25500,18,214,196,1975,1087.4,1311.0,0.322,0.8633,0.0333,0.345,0.4749,0.7108,0.2615,0.3044,2.856,0.1646,0.4346,0.4869,0.5276,0.1667,0.0,0.0,0.2222,0.5556,0.0556,7,6,7,0.9221,0.4979,0.5871,10.268,49,4
25,26000,17,214,197,2475,1535.2,1811.0,0.4619,0.93,0.1806,0.4478,0.555,0.87,0.2424,0.289,2.9398,0.153,0.4113,0.4738,0.5016,0.1765,0.0,0.0,0.1765,0.5294,0.1176,0,1,7,0.925,0.4991,0.5887,10.3004,5,2
25,26500,15,214,199,2975,2074.7,2311.0,0.6037,0.9967,0.3349,0.5581,0.7031,0.9767,0.2245,0.2474,2.6826,0.2656,0.3667,0.5114,0.4343,0.1333,0.0,0.0,0.1333,0.6,0.1333,0,2,7,0.9361,0.5015,0.591,10.4238,1,0
26,27000,19,224,205,2811,1343.2,1667.0,0.3782,0.8223,0.088,0.4008,0.6373,0.701,0.2624,0.2912,3.1761,0.1367,0.489,0.4915,0.4111,0.1053,0.0,0.0,0.2632,0.3684,0.2632,10,6,10,0.9115,0.5135,0.6028,10.1498,104,18
26,27500,15,224,209,2167,1451.8,975.0,0.4191,0.8889,0.1951,0.29,0.5405,0.8339,0.246,0.3154,3.0062,0.0468,0.529,0.4114,0.4362,0.1333,0.0,0.0,0.3333,0.3333,0.2,0,4,10,0.9016,0.5187,0.6055,10.0401,26,3
27,28000,17,230,213,2667,1441.9,1475.0,0.4091,0.9556,0.1005,0.3377,0.5755,0.8956,0.2897,0.289,3.2639,0.1663,0.4831,0.3864,0.395,0.0588,0.0,0.0,0.2353,0.4118,0.2941,6,4,6,0.9306,0.5157,0.6052,10.3625,13,11
28,28500,15,236,221,1975,934.7,888.0,0.27,0.5883,0.1025,0.227,0.3962,0.4967,0.1602,0.2637,2.9232,0.0801,0.4832,0.5652,0.2981,0.0,0.0,0.0,0.2667,0.4,0.3333,6,8,5,0.8532,0.51,0.6022,9.5004,110,16
