generation,frame,alive_population,best_alive_fitness,average_alive_fitness,current_oldest_alive_age,genome_diversity_score,weights_file
50,48830,171,1.0,0.8424,3000,0.9215,checkpoints/chk_000050.npz
100,98489,196,1.0,0.9367,3000,0.6439,checkpoints/chk_000100.npz
150,146240,168,1.0,0.9637,3000,0.6208,checkpoints/chk_000150.npz
