generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
1,1495,32,0.1657,0.2126,0.0612,1073.5,1495,0.16,933.5,0.84,0.3691,0.4836,0.5618,0.0251,0.05,0.2,0
2,1583,38,0.1743,0.2589,0.0612,1150.7,1583,0.16,844.2,0.74,0.3712,0.4842,0.562,0.0294,0.05,0.2,0
3,2330,44,0.1936,0.3427,0.0612,1274.1,2330,0.25,873.4,0.64,0.3678,0.487,0.5646,0.0239,0.05,0.2,0
4,2814,50,0.2036,0.4638,0.0612,1322.3,2814,0.32,963.7,0.62,0.3727,0.4867,0.5644,0.0219,0.05,0.2,0
5,3000,59,0.2603,0.7631,0.0612,1573.8,3000,1.08,1175.5,0.61,0.3713,0.486,0.5639,0.023,0.05,0.2,0
6,3162,1,0.0227,0.0227,0.0227,162.0,162,0.0,52.6,3.0,0.0,0.4708,0.5492,0.0,0.05,0.2,0
7,3683,72,0.2448,0.7631,0.0227,1500.9,3000,0.92,1094.5,0.62,0.3598,0.487,0.5649,0.0387,0.05,0.2,0
8,4065,78,0.2431,0.7631,0.0227,1499.9,3000,0.87,1074.2,0.6,0.3439,0.4881,0.5657,0.0295,0.05,0.2,0
9,4422,84,0.2409,0.7631,0.0227,1497.8,3000,0.82,1040.9,0.58,0.3523,0.4884,0.5661,0.0372,0.05,0.2,0
10,4940,90,0.2398,0.7631,0.0227,1489.3,3000,0.78,1092.5,0.54,0.3675,0.4885,0.5661,0.0258,0.05,0.2,0
11,5653,96,0.2421,0.7631,0.0227,1500.6,3000,0.8,1104.3,0.53,0.3603,0.4893,0.567,0.0187,0.05,0.2,0
12,6000,103,0.2561,0.8934,0.0227,1554.1,3000,1.06,1126.3,0.51,0.3951,0.4894,0.5673,0.0312,0.05,0.2,0
13,6521,1,0.0258,0.0258,0.0258,173.0,173,0.0,135.8,2.0,0.0,0.5238,0.6078,0.0,0.05,0.2,0
14,7065,116,0.2801,0.9522,0.0227,1624.9,3000,1.59,1211.7,0.57,0.3062,0.4889,0.5669,0.0438,0.05,0.2,0
15,7312,122,0.2775,0.9522,0.0227,1619.4,3000,1.52,1206.3,0.54,0.3486,0.489,0.5671,0.0436,0.05,0.2,0
16,7940,128,0.2955,0.9522,0.0227,1675.1,3000,1.9,1271.9,0.6,0.3671,0.4892,0.5673,0.0308,0.05,0.2,0
17,8354,134,0.2917,0.9522,0.0227,1659.7,3000,1.82,1278.8,0.58,0.3527,0.4897,0.5679,0.0232,0.05,0.2,0
18,8705,140,0.2943,0.9522,0.0227,1666.2,3000,1.88,1288.9,0.59,0.3735,0.4896,0.5679,0.0318,0.05,0.2,0
19,9395,1,0.0374,0.0374,0.0374,264.0,264,0.0,109.5,2.0,0.0,0.4803,0.5591,0.0,0.05,0.2,0
20,9563,152,0.3084,0.9696,0.0227,1710.2,3000,2.17,1339.9,0.55,0.38,0.4899,0.5683,0.0345,0.05,0.2,0
21,10040,2,0.0571,0.0818,0.0324,354.5,477,0.0,492.3,2.0,0.5729,0.4936,0.569,0.0042,0.05,0.2,0
22,10927,164,0.3123,0.9767,0.0227,1716.2,3000,2.48,1348.5,0.54,0.3373,0.4897,0.5681,0.0579,0.05,0.2,0
23,11354,172,0.3228,0.9804,0.0227,1750.1,3000,2.81,1364.5,0.53,0.3526,0.4894,0.5679,0.0329,0.05,0.2,0
24,11876,1,0.0312,0.0312,0.0312,230.0,230,0.0,27.3,2.0,0.0,0.5142,0.5863,0.0,0.05,0.2,0
25,12395,186,0.3336,0.9804,0.0227,1790.7,3000,2.99,1374.3,0.56,0.3604,0.4903,0.5687,0.0409,0.05,0.2,0
26,12978,192,0.3317,0.9804,0.0227,1790.4,3000,2.92,1365.5,0.55,0.3138,0.4903,0.5687,0.0407,0.05,0.2,0
27,13873,1,0.0448,0.0448,0.0448,320.0,320,0.0,105.3,2.0,0.0,0.4785,0.5582,0.0,0.05,0.2,0
28,14217,154,0.4067,0.9902,0.2013,2141.4,3000,4.13,1516.1,0.34,0.3047,0.4916,0.5702,0.0299,0.05,0.2,0
29,14876,164,0.4171,0.9902,0.1119,2163.3,3000,4.41,1564.0,0.34,0.2954,0.4915,0.5701,0.0334,0.05,0.2,0
30,15395,1,0.0271,0.0271,0.0271,163.0,163,0.0,270.2,2.0,0.0,0.4888,0.5686,0.0,0.05,0.2,0
31,16392,176,0.4213,0.9902,0.0271,2183.9,3000,4.41,1600.9,0.36,0.3288,0.4914,0.57,0.0505,0.05,0.2,0
32,16873,182,0.4241,0.9902,0.0271,2195.6,3000,4.45,1599.1,0.36,0.3081,0.4911,0.5698,0.0473,0.05,0.2,0
33,17217,188,0.4312,0.9902,0.0271,2213.5,3000,4.7,1613.4,0.4,0.3079,0.491,0.5698,0.0304,0.05,0.2,0
34,17876,196,0.4366,0.9902,0.0271,2221.8,3000,4.92,1645.0,0.42,0.2865,0.4909,0.5698,0.078,0.05,0.2,0
35,18395,152,0.5233,0.9902,0.2112,2533.3,3000,6.83,1870.7,0.51,0.2923,0.4901,0.5692,0.0811,0.05,0.2,0
36,19392,1,0.192,0.192,0.192,971.0,971,1.0,1875.8,2.0,0.0,0.4645,0.5455,0.0,0.05,0.2,0
37,19873,167,0.5238,0.9902,0.192,2516.8,3000,6.91,1896.7,0.55,0.293,0.4892,0.5684,0.1061,0.05,0.2,0
38,20217,2,0.037,0.0516,0.0224,229.0,303,0.0,323.7,2.5,0.4607,0.4627,0.5444,0.1186,0.05,0.2,0
39,20950,180,0.5303,1.0,0.0224,2511.4,3000,7.28,1945.1,0.62,0.3109,0.4883,0.5676,0.1059,0.05,0.2,0
40,21395,187,0.5288,1.0,0.0224,2500.6,3000,7.22,1959.2,0.61,0.2798,0.4882,0.5676,0.0763,0.05,0.2,0
41,22392,194,0.5369,1.0,0.0224,2518.6,3000,7.45,1979.3,0.6,0.2801,0.4879,0.5674,0.1137,0.05,0.2,0
42,23217,154,0.6432,1.0,0.3302,2863.1,3000,9.81,2365.6,0.68,0.2403,0.485,0.565,0.1705,0.05,0.2,0
43,23950,161,0.642,1.0,0.1759,2851.9,3000,9.76,2381.6,0.7,0.273,0.4848,0.5648,0.146,0.05,0.2,0
44,24395,170,0.6424,1.0,0.1759,2837.8,3000,9.8,2379.9,0.76,0.2485,0.4842,0.5642,0.1283,0.05,0.2,0
45,25392,2,0.1509,0.184,0.1178,783.5,833,1.5,447.1,3.0,0.1307,0.5007,0.5768,0.9108,0.05,0.2,0
46,26217,186,0.6384,1.0,0.1178,2800.7,3000,9.76,2410.5,0.79,0.2326,0.4835,0.5636,0.1518,0.05,0.2,0
47,26950,193,0.6369,1.0,0.1178,2796.9,3000,9.68,2403.3,0.81,0.251,0.483,0.5632,0.1678,0.05,0.2,0
48,27395,151,0.7318,1.0,0.4813,2991.2,3000,12.41,2814.1,1.01,0.2247,0.4789,0.5595,0.2524,0.05,0.2,0
49,28392,2,0.1126,0.1134,0.1118,676.5,701,0.0,1122.5,1.0,0.1757,0.4786,0.56,0.0575,0.05,0.2,0
50,29217,170,0.7187,1.0,0.1118,2931.7,3000,12.08,2797.9,1.1,0.2113,0.4784,0.5591,0.2935,0.05,0.2,0
51,29950,2,0.0691,0.1026,0.0356,432.0,640,0.0,576.5,2.0,0.0727,0.486,0.5681,0.0601,0.05,0.2,0
52,30395,1,0.0255,0.0255,0.0255,151.0,151,0.0,267.5,2.0,0.0,0.475,0.5576,0.0,0.05,0.2,0
