generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
2,6000,20,0.61,0.95,0.0731,2768.2,3000,6.95,3910.8,0.65,0.271,0.487,0.57,0.099,0.15,0.3,0
3,8283,20,0.5058,0.9044,0.075,2042.2,2283,7.85,3262.6,1.45,0.2408,0.4825,0.566,0.0904,0.15,0.3,0
4,9000,6,0.1823,0.2816,0.133,717.0,717,2.5,1210.8,0.5,0.242,0.481,0.5668,0.1655,0.15,0.3,0
5,11050,14,0.4949,0.8484,0.1938,1911.9,2050,7.29,3479.7,1.57,0.3429,0.4826,0.5677,0.0937,0.15,0.3,0
6,12000,6,0.2853,0.3984,0.1434,950.0,950,4.83,1888.6,1.67,0.2896,0.4964,0.5832,0.0859,0.15,0.3,0
7,14050,14,0.5436,0.7983,0.0755,1848.9,2050,9.21,3449.0,1.57,0.2507,0.4792,0.5641,0.1249,0.15,0.3,0
8,15000,8,0.2313,0.4775,0.1313,901.5,950,3.12,1649.0,0.75,0.285,0.4871,0.573,0.1163,0.15,0.3,0
9,15976,14,0.1859,0.3004,0.0228,850.6,976,1.79,1391.2,0.93,0.2661,0.4863,0.5772,0.0775,0.15,0.3,0
10,17050,6,0.2739,0.5779,0.0821,938.5,1074,4.83,1395.4,1.83,0.2539,0.4847,0.5683,0.1165,0.15,0.3,0
11,18000,7,0.2558,0.4358,0.0337,829.1,950,4.57,1549.4,1.14,0.2541,0.5013,0.5912,0.2518,0.15,0.3,0
12,20050,12,0.6816,0.8733,0.4634,2046.5,2050,13.75,4297.8,3.08,0.1815,0.4898,0.5799,0.1861,0.15,0.3,0
13,21000,9,0.2999,0.5535,0.1335,905.8,950,5.44,2148.8,1.11,0.2329,0.4861,0.5777,0.2204,0.15,0.3,0
14,23050,12,0.5333,0.8233,0.0744,1902.9,2050,8.42,3591.9,2.08,0.2234,0.4832,0.5744,0.1277,0.15,0.3,0
15,24000,9,0.2896,0.4068,0.0915,883.8,950,5.56,1641.4,2.44,0.2759,0.4938,0.5842,0.0463,0.15,0.3,0
16,26050,12,0.5045,0.8719,0.1945,1773.0,2050,9.83,3396.2,3.08,0.2312,0.4807,0.5706,0.1235,0.15,0.3,0
17,27000,12,0.265,0.5044,0.1376,935.9,950,4.17,1800.3,0.67,0.1991,0.4861,0.5753,0.1525,0.15,0.3,0
18,29050,9,0.5054,0.8233,0.1351,1804.7,2050,7.56,3863.7,2.11,0.1787,0.4868,0.5759,0.2281,0.15,0.3,0
19,30000,13,0.3204,0.4837,0.1991,950.0,950,6.08,2089.6,1.62,0.183,0.4958,0.5916,0.1615,0.15,0.3,0
20,32050,7,0.4465,0.8371,0.0557,1506.1,2050,8.86,2897.0,2.71,0.2381,0.4931,0.5852,0.1559,0.15,0.3,0
21,33000,16,0.2871,0.6564,0.073,876.4,950,5.25,1951.8,1.12,0.2329,0.4871,0.5824,0.1951,0.15,0.3,0
22,35050,6,0.5248,0.8289,0.1986,1690.5,2050,9.67,3742.0,2.17,0.3039,0.4934,0.5845,0.0874,0.15,0.3,0
23,36000,16,0.277,0.5306,0.0946,862.8,950,4.94,1925.3,1.62,0.2224,0.4881,0.5866,0.1101,0.15,0.3,0
24,37936,7,0.6276,0.8552,0.1945,1807.1,1936,14.29,4417.5,2.0,0.1927,0.4901,0.5896,0.1646,0.15,0.3,0
25,38050,6,0.0544,0.0975,0.0186,114.0,114,1.33,292.7,0.33,0.2329,0.4867,0.5838,0.132,0.15,0.3,0
26,39000,8,0.2679,0.47,0.1644,941.5,950,4.12,1961.3,0.75,0.2105,0.492,0.5848,0.1625,0.15,0.3,0
27,40936,7,0.5543,0.8491,0.3281,1936.0,1936,9.0,3739.2,0.86,0.1761,0.4771,0.5762,0.3111,0.15,0.3,0
28,41986,10,0.2726,0.4004,0.1934,1040.2,1050,3.6,2196.8,0.8,0.2319,0.4893,0.5859,0.2284,0.15,0.3,0
29,42000,6,0.0067,0.0278,0.0022,14.0,14,0.17,32.8,0.0,0.3457,0.4873,0.586,0.183,0.15,0.3,0
30,43936,6,0.6093,0.817,0.5331,1936.0,1936,10.67,4439.6,3.17,0.233,0.4863,0.5864,0.1579,0.15,0.3,0
31,44986,9,0.3041,0.5059,0.1251,989.4,1050,5.33,1940.5,1.56,0.2422,0.4819,0.5749,0.1491,0.15,0.3,0
32,45088,7,0.0181,0.0199,0.0157,102.0,102,0.0,227.2,0.14,0.2383,0.4798,0.5771,0.2034,0.15,0.3,0
33,46936,6,0.5507,0.6464,0.4693,1807.3,1848,9.67,3569.9,3.83,0.2427,0.4854,0.585,0.1604,0.15,0.3,0
34,47986,8,0.3191,0.5243,0.0704,950.5,1050,6.25,1804.1,2.12,0.2258,0.4901,0.5815,0.1601,0.15,0.3,0
35,49630,9,0.5604,0.8178,0.0769,1517.3,1644,12.67,3637.1,3.22,0.2505,0.479,0.5873,0.2069,0.15,0.3,0
36,49936,6,0.0964,0.184,0.0702,306.0,306,1.67,695.6,0.5,0.2177,0.4822,0.5781,0.261,0.15,0.3,0
